vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,can_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type,summarize_trials_used,summarize_trial_method,summarize_trials_output
"{""summarize_trials_used"": [10, 25], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 124}",1,2026-06-15 09:30:11,False,,,TrialSource,1,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,14.0,,"{""vector"": [148, 140, 176], ""initial_index"": 1}","{""vector"": [148, 140, 176], ""initial_index"": 1, ""active_index"": 1}","{""target"": ""tree""}",A,default,False,2,CustomNode,Node,"[10, 25]",mean,124.0
"{""summarize_trials_used"": [3, 18], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 188}",2,2026-06-15 09:30:11,False,,,TrialSource,2,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,9.0,,"{""vector"": [115, 76, 245], ""initial_index"": 2}","{""vector"": [115, 76, 245], ""initial_index"": 2, ""active_index"": 2}","{""target"": ""tree""}",B,default,False,2,CustomNode,Node,"[3, 18]",mean,188.0
"{""summarize_trials_used"": [8, 24], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 207}",3,2026-06-15 09:30:11,False,,,TrialSource,3,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,15.0,,"{""vector"": [125, 26, 146], ""initial_index"": 1}","{""vector"": [125, 26, 146], ""initial_index"": 1, ""active_index"": 1}","{""target"": ""rock""}",A,default,False,2,CustomNode,Node,"[8, 24]",mean,207.0
"{""summarize_trials_used"": [2, 17], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 122.5}",4,2026-06-15 09:30:11,False,,,TrialSource,4,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,12.0,,"{""vector"": [216, 122, 79], ""initial_index"": 2}","{""vector"": [216, 122, 79], ""initial_index"": 2, ""active_index"": 2}","{""target"": ""rock""}",B,default,False,2,CustomNode,Node,"[2, 17]",mean,122.5
"{""summarize_trials_used"": [9, 23], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 196.5}",5,2026-06-15 09:30:11,False,,,TrialSource,5,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,13.0,,"{""vector"": [135, 239, 38], ""initial_index"": 1}","{""vector"": [135, 239, 38], ""initial_index"": 1, ""active_index"": 1}","{""target"": ""carrot""}",A,default,False,2,CustomNode,Node,"[9, 23]",mean,196.5
"{""summarize_trials_used"": [4, 15], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 208}",6,2026-06-15 09:30:11,False,,,TrialSource,6,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,11.0,,"{""vector"": [233, 143, 250], ""initial_index"": 2}","{""vector"": [233, 143, 250], ""initial_index"": 2, ""active_index"": 2}","{""target"": ""carrot""}",B,default,False,2,CustomNode,Node,"[4, 15]",mean,208.0
"{""summarize_trials_used"": [11, 22], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 74.5}",7,2026-06-15 09:30:11,False,,,TrialSource,7,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,16.0,,"{""vector"": [205, 48, 146], ""initial_index"": 1}","{""vector"": [205, 48, 146], ""initial_index"": 1, ""active_index"": 1}","{""target"": ""banana""}",A,default,False,2,CustomNode,Node,"[11, 22]",mean,74.5
"{""summarize_trials_used"": [1, 16], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 75.5}",8,2026-06-15 09:30:11,False,,,TrialSource,8,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,10.0,,"{""vector"": [25, 176, 33], ""initial_index"": 1}","{""vector"": [25, 176, 33], ""initial_index"": 1, ""active_index"": 1}","{""target"": ""banana""}",B,default,False,2,CustomNode,Node,"[1, 16]",mean,75.5
"{""summarize_trials_used"": [45, 29], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 105.5}",9,2026-06-15 09:30:22,False,,,CustomNode,2,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,19.0,2.0,"{""vector"": [115, 76, 188], ""initial_index"": 2, ""active_index"": 2}","{""vector"": [115, 76, 188], ""initial_index"": 2, ""active_index"": 0}","{""target"": ""tree""}",B,default,False,2,CustomNode,Node,"[45, 29]",mean,105.5
"{""summarize_trials_used"": [30, 43], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 92.5}",10,2026-06-15 09:30:22,False,,,CustomNode,8,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,18.0,8.0,"{""vector"": [25, 75.5, 33], ""initial_index"": 1, ""active_index"": 1}","{""vector"": [25, 75.5, 33], ""initial_index"": 1, ""active_index"": 2}","{""target"": ""banana""}",B,default,False,2,CustomNode,Node,"[30, 43]",mean,92.5
