vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,destination_id,network_id,class,object_type
{},1,2026-06-15 09:30:22,False,,,ChainVector,2,9,2,ChainVector,Vector
{},2,2026-06-15 09:30:22,False,,,ChainVector,8,10,8,ChainVector,Vector
{},3,2026-06-15 09:30:22,False,,,ChainVector,6,11,6,ChainVector,Vector
{},4,2026-06-15 09:30:22,False,,,ChainVector,4,12,4,ChainVector,Vector
{},5,2026-06-15 09:30:24,False,,,ChainVector,5,13,5,ChainVector,Vector
{},6,2026-06-15 09:30:24,False,,,ChainVector,1,14,1,ChainVector,Vector
{},7,2026-06-15 09:30:24,False,,,ChainVector,3,15,3,ChainVector,Vector
{},8,2026-06-15 09:30:24,False,,,ChainVector,7,16,7,ChainVector,Vector
{},9,2026-06-15 09:30:30,False,,,ChainVector,12,17,4,ChainVector,Vector
{},10,2026-06-15 09:30:30,False,,,ChainVector,10,18,8,ChainVector,Vector
{},11,2026-06-15 09:30:30,False,,,ChainVector,9,19,2,ChainVector,Vector
{},12,2026-06-15 09:30:30,False,,,ChainVector,11,20,6,ChainVector,Vector
{},13,2026-06-15 09:30:32,False,,,ChainVector,16,21,7,ChainVector,Vector
{},14,2026-06-15 09:30:32,False,,,ChainVector,13,22,5,ChainVector,Vector
{},15,2026-06-15 09:30:32,False,,,ChainVector,14,23,1,ChainVector,Vector
{},16,2026-06-15 09:30:32,False,,,ChainVector,15,24,3,ChainVector,Vector
