_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,category,t_past,unit,displayed_locale,vignette_id,prediction,prediction_is_finite,reaction_time,validation_failures,bot_profile
{},{},1,2026-06-15 20:42:43,False,,,PredictionTrial,11,11,,True,11,1,1,everyday_predictions,"{""category"": ""movie_run_times"", ""t_past"": 30, ""unit"": ""minutes"", ""displayed_locale"": ""he"", ""vignette_id"": ""movie_run_times""}",True,False,1.0,0.0,,"{""category"": ""movie_run_times"", ""vignette_id"": ""movie_run_times"", ""t_past"": 30, ""unit"": ""minutes"", ""displayed_locale"": ""he"", ""prediction"": 64.2, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,2,,,12.0,10.0,22.0,12.0,0.13333333333333333,0.29333333333333333,False,False,False,False,0,movie_run_times,PredictionTrial,Info,movie_run_times,30,minutes,he,movie_run_times,64.2,True,12,0,locale_he
{},{},2,2026-06-15 20:42:44,False,,,PredictionTrial,22,22,,True,22,1,1,everyday_predictions,"{""category"": ""waiting_times"", ""t_past"": 3, ""unit"": ""minutes"", ""displayed_locale"": ""he"", ""vignette_id"": ""waiting_times""}",True,False,1.0,0.0,,"{""category"": ""waiting_times"", ""vignette_id"": ""waiting_times"", ""t_past"": 3, ""unit"": ""minutes"", ""displayed_locale"": ""he"", ""prediction"": 12.1, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,3,,,12.0,22.0,34.0,12.0,0.29333333333333333,0.45333333333333337,False,False,False,False,1,waiting_times,PredictionTrial,Info,waiting_times,3,minutes,he,waiting_times,12.1,True,12,0,locale_he
{},{},3,2026-06-15 20:42:44,False,,,PredictionTrial,6,6,,True,6,1,1,everyday_predictions,"{""category"": ""marriages"", ""t_past"": 1, ""unit"": ""years"", ""displayed_locale"": ""he"", ""vignette_id"": ""marriages""}",True,False,1.0,0.0,,"{""category"": ""marriages"", ""vignette_id"": ""marriages"", ""t_past"": 1, ""unit"": ""years"", ""displayed_locale"": ""he"", ""prediction"": 17.9, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,4,,,12.0,34.0,46.0,12.0,0.45333333333333337,0.6133333333333334,False,False,False,False,2,marriages,PredictionTrial,Info,marriages,1,years,he,marriages,17.9,True,12,0,locale_he
{},{},4,2026-06-15 20:42:44,False,,,PredictionTrial,16,16,,True,16,1,1,everyday_predictions,"{""category"": ""poem_lengths"", ""t_past"": 2, ""unit"": ""lines"", ""displayed_locale"": ""he"", ""vignette_id"": ""poem_lengths""}",True,False,1.0,0.0,,"{""category"": ""poem_lengths"", ""vignette_id"": ""poem_lengths"", ""t_past"": 2, ""unit"": ""lines"", ""displayed_locale"": ""he"", ""prediction"": 6.5, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,5,,,12.0,46.0,58.0,12.0,0.6133333333333334,0.7733333333333334,False,False,False,False,3,poem_lengths,PredictionTrial,Info,poem_lengths,2,lines,he,poem_lengths,6.5,True,12,0,locale_he
{},{},5,2026-06-15 20:42:44,False,,,PredictionTrial,3,3,,True,3,1,1,everyday_predictions,"{""category"": ""life_spans"", ""t_past"": 61, ""unit"": ""years"", ""displayed_locale"": ""he"", ""vignette_id"": ""life_spans""}",True,False,1.0,0.0,,"{""category"": ""life_spans"", ""vignette_id"": ""life_spans"", ""t_past"": 61, ""unit"": ""years"", ""displayed_locale"": ""he"", ""prediction"": 83.7, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,6,,,12.0,58.0,70.0,12.0,0.7733333333333334,0.9333333333333333,False,False,False,False,4,life_spans,PredictionTrial,Info,life_spans,61,years,he,life_spans,83.7,True,12,0,locale_he
{},{},6,2026-06-15 20:42:45,False,,,PredictionTrial,25,25,,True,25,2,2,everyday_predictions,"{""category"": ""waiting_times"", ""t_past"": 23, ""unit"": ""minutes"", ""displayed_locale"": ""he"", ""vignette_id"": ""waiting_times""}",True,False,1.0,0.0,,"{""category"": ""waiting_times"", ""vignette_id"": ""waiting_times"", ""t_past"": 23, ""unit"": ""minutes"", ""displayed_locale"": ""he"", ""prediction"": 45.2, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,10,,,12.0,10.0,22.0,12.0,0.13333333333333333,0.29333333333333333,False,False,False,False,0,waiting_times,PredictionTrial,Info,waiting_times,23,minutes,he,waiting_times,45.2,True,12,0,locale_he
{},{},7,2026-06-15 20:42:45,False,,,PredictionTrial,13,13,,True,13,2,2,everyday_predictions,"{""category"": ""movie_run_times"", ""t_past"": 80, ""unit"": ""minutes"", ""displayed_locale"": ""he"", ""vignette_id"": ""movie_run_times""}",True,False,1.0,0.0,,"{""category"": ""movie_run_times"", ""vignette_id"": ""movie_run_times"", ""t_past"": 80, ""unit"": ""minutes"", ""displayed_locale"": ""he"", ""prediction"": 107.0, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,11,,,12.0,22.0,34.0,12.0,0.29333333333333333,0.45333333333333337,False,False,False,False,1,movie_run_times,PredictionTrial,Info,movie_run_times,80,minutes,he,movie_run_times,107.0,True,12,0,locale_he
{},{},8,2026-06-15 20:42:45,False,,,PredictionTrial,8,8,,True,8,2,2,everyday_predictions,"{""category"": ""marriages"", ""t_past"": 7, ""unit"": ""years"", ""displayed_locale"": ""he"", ""vignette_id"": ""marriages""}",True,False,1.0,0.0,,"{""category"": ""marriages"", ""vignette_id"": ""marriages"", ""t_past"": 7, ""unit"": ""years"", ""displayed_locale"": ""he"", ""prediction"": 23.2, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,12,,,12.0,34.0,46.0,12.0,0.45333333333333337,0.6133333333333334,False,False,False,False,2,marriages,PredictionTrial,Info,marriages,7,years,he,marriages,23.2,True,12,0,locale_he
{},{},9,2026-06-15 20:42:45,False,,,PredictionTrial,5,5,,True,5,2,2,everyday_predictions,"{""category"": ""life_spans"", ""t_past"": 96, ""unit"": ""years"", ""displayed_locale"": ""he"", ""vignette_id"": ""life_spans""}",True,False,1.0,0.0,,"{""category"": ""life_spans"", ""vignette_id"": ""life_spans"", ""t_past"": 96, ""unit"": ""years"", ""displayed_locale"": ""he"", ""prediction"": 96.0, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,13,,,12.0,46.0,58.0,12.0,0.6133333333333334,0.7733333333333334,False,False,False,False,3,life_spans,PredictionTrial,Info,life_spans,96,years,he,life_spans,96.0,True,12,0,locale_he
{},{},10,2026-06-15 20:42:45,False,,,PredictionTrial,19,19,,True,19,2,2,everyday_predictions,"{""category"": ""poem_lengths"", ""t_past"": 32, ""unit"": ""lines"", ""displayed_locale"": ""he"", ""vignette_id"": ""poem_lengths""}",True,False,1.0,0.0,,"{""category"": ""poem_lengths"", ""vignette_id"": ""poem_lengths"", ""t_past"": 32, ""unit"": ""lines"", ""displayed_locale"": ""he"", ""prediction"": 51.7, ""prediction_is_finite"": true, ""reaction_time"": 12, ""validation_failures"": 0, ""bot_profile"": ""locale_he""}",True,14,,,12.0,58.0,70.0,12.0,0.7733333333333334,0.9333333333333333,False,False,False,False,4,poem_lengths,PredictionTrial,Info,poem_lengths,32,lines,he,poem_lengths,51.7,True,12,0,locale_he
