participant_label,true_ability,mode,trial_index,selected_length,correct,predictive_correct,expected_information_gain,posterior_ability_mean,posterior_ability_sd_log
low,0.35,adaptive,0,8,False,0.3588064,0.18779128,0.344837,0.918788
low,0.35,adaptive,1,3,False,0.3357491,0.16958032,0.255432,0.901088
low,0.35,adaptive,2,2,False,0.36243595,0.16530962,0.125275,0.933065
low,0.35,adaptive,3,2,True,0.19761417,0.15433168,0.338319,0.572036
low,0.35,adaptive,4,3,False,0.32239632,0.08701962,0.278777,0.555738
low,0.35,adaptive,5,3,False,0.26415363,0.08367701,0.2533,0.570449
low,0.35,adaptive,6,3,False,0.23774348,0.08639064,0.198545,0.417096
low,0.35,adaptive,7,2,True,0.28016601,0.05208558,0.290248,0.45843
low,0.35,adaptive,8,3,True,0.27294859,0.06129791,0.361486,0.365166
low,0.35,adaptive,9,4,True,0.24929347,0.04146804,0.486157,0.37244
medium,1.0,adaptive,0,8,False,0.3588064,0.18779128,0.402532,0.833347
medium,1.0,adaptive,1,4,True,0.29854309,0.14925154,0.866357,0.527007
medium,1.0,adaptive,2,9,True,0.27344985,0.07702787,1.514584,0.627589
medium,1.0,adaptive,3,15,True,0.29092431,0.10086337,2.063612,0.479893
medium,1.0,adaptive,4,20,False,0.29346415,0.06591925,1.672528,0.349971
medium,1.0,adaptive,5,19,False,0.24065833,0.03846417,1.634266,0.439723
medium,1.0,adaptive,6,18,False,0.25286075,0.05720428,1.479528,0.449746
medium,1.0,adaptive,7,16,False,0.25877586,0.05941834,1.381966,0.352854
medium,1.0,adaptive,8,16,False,0.23481382,0.03902862,1.186987,0.322263
medium,1.0,adaptive,9,14,True,0.22821029,0.03315751,1.553913,0.429367
high,3.0,adaptive,0,8,True,0.3588064,0.18779128,1.324558,0.53169
high,3.0,adaptive,1,14,True,0.2684741,0.07810852,2.087245,0.419288
high,3.0,adaptive,2,20,True,0.29625678,0.05228801,2.979871,0.375529
high,3.0,adaptive,3,20,False,0.41670667,0.03888003,2.678315,0.439823
high,3.0,adaptive,4,20,False,0.37840794,0.05390432,2.465089,0.491803
high,3.0,adaptive,5,20,True,0.35022388,0.06691766,2.93528,0.383328
high,3.0,adaptive,6,20,False,0.41123536,0.04064124,2.692761,0.426869
high,3.0,adaptive,7,20,True,0.3805477,0.05100942,3.075179,0.32527
high,3.0,adaptive,8,20,True,0.42978222,0.02923823,3.5497,0.364605
high,3.0,adaptive,9,20,False,0.47661831,0.03394011,3.144654,0.40594
