vars,creation_time,local_key,trial_id,asset_id,type,class,object_type
{},2026-06-15 09:30:18,async_post_trial,1,1,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:18,async_post_trial,2,2,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:18,async_post_trial,3,3,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:18,async_post_trial,4,4,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:18,async_post_trial,5,5,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:18,async_post_trial,6,6,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:18,async_post_trial,7,7,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:19,async_post_trial,8,8,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:19,async_post_trial,9,9,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:20,async_post_trial,10,10,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:20,async_post_trial,11,11,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:20,async_post_trial,12,12,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:20,async_post_trial,13,13,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:20,async_post_trial,14,14,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:21,async_post_trial,15,15,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:21,async_post_trial,16,16,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:22,async_post_trial,17,17,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:22,async_post_trial,18,18,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:22,async_post_trial,19,19,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:22,async_post_trial,20,20,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:22,async_post_trial,21,21,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:23,async_post_trial,22,22,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:24,async_post_trial,23,23,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:24,async_post_trial,24,24,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:24,async_post_trial,25,25,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:24,async_post_trial,26,26,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:24,async_post_trial,27,27,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:24,async_post_trial,28,28,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:25,async_post_trial,29,29,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:26,async_post_trial,30,30,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:26,async_post_trial,31,31,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:26,async_post_trial,32,32,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:26,async_post_trial,33,33,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:26,async_post_trial,34,34,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:26,async_post_trial,35,35,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:27,async_post_trial,36,36,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:27,async_post_trial,37,37,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:28,async_post_trial,38,38,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:28,async_post_trial,39,39,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:28,async_post_trial,40,40,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:28,async_post_trial,41,41,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:28,async_post_trial,42,42,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:29,async_post_trial,43,43,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:29,async_post_trial,44,44,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:30,async_post_trial,45,45,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:30,async_post_trial,46,46,AssetTrial,AssetTrial,AssetTrial
