vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-06-15 20:42:01,False,,,1,everyday_predictions,1,2026-06-15 20:42:01,2026-06-15 20:42:02,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""marriages"", ""waiting_times"", ""movie_run_times"", ""poem_lengths""]",4,poem_lengths,"[4, 10, 22, 11, 19]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:03,False,,,2,everyday_predictions,2,2026-06-15 20:42:03,2026-06-15 20:42:04,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""waiting_times"", ""life_spans"", ""poem_lengths"", ""marriages""]",4,marriages,"[14, 25, 5, 18, 8]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:04,False,,,3,everyday_predictions,3,2026-06-15 20:42:04,2026-06-15 20:42:05,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""marriages"", ""life_spans"", ""poem_lengths"", ""movie_run_times"", ""waiting_times""]",4,waiting_times,"[7, 1, 17, 15, 23]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:05,False,,,4,everyday_predictions,4,2026-06-15 20:42:05,2026-06-15 20:42:06,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""waiting_times"", ""marriages"", ""poem_lengths"", ""life_spans""]",4,life_spans,"[13, 24, 9, 20, 2]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:07,False,,,5,everyday_predictions,5,2026-06-15 20:42:07,2026-06-15 20:42:08,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""waiting_times"", ""movie_run_times"", ""marriages"", ""poem_lengths"", ""life_spans""]",4,life_spans,"[21, 12, 6, 16, 3]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:08,False,,,6,everyday_predictions,6,2026-06-15 20:42:08,2026-06-15 20:42:09,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""waiting_times"", ""marriages"", ""life_spans"", ""poem_lengths""]",4,poem_lengths,"[15, 24, 8, 2, 18]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:09,False,,,7,everyday_predictions,7,2026-06-15 20:42:09,2026-06-15 20:42:10,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""movie_run_times"", ""life_spans"", ""marriages"", ""waiting_times""]",4,waiting_times,"[20, 13, 1, 6, 21]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:11,False,,,8,everyday_predictions,8,2026-06-15 20:42:11,2026-06-15 20:42:12,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""movie_run_times"", ""waiting_times"", ""marriages"", ""poem_lengths""]",4,poem_lengths,"[4, 12, 23, 10, 17]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:12,False,,,9,everyday_predictions,9,2026-06-15 20:42:12,2026-06-15 20:42:13,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""movie_run_times"", ""life_spans"", ""marriages"", ""waiting_times""]",4,waiting_times,"[19, 11, 5, 7, 25]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:13,False,,,10,everyday_predictions,10,2026-06-15 20:42:13,2026-06-15 20:42:14,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""marriages"", ""life_spans"", ""movie_run_times"", ""waiting_times""]",4,waiting_times,"[16, 9, 3, 14, 22]",5,1,ChainTrialMakerState,ModuleState
