trial_id,participant_id,run_id,revision,profile,position,pair_id,condition,cue,target,semantic_lure,recent_lure,neutral_lure,answer,answer_role,correct,response_time_ms,prompt
initial-T0001,initial-P11,initial,initial,psynet_bot_rule,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,1060,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0002,initial-P11,initial,initial,psynet_bot_rule,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1039,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0003,initial-P11,initial,initial,psynet_bot_rule,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1219,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0004,initial-P11,initial,initial,psynet_bot_rule,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,900,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0005,initial-P11,initial,initial,psynet_bot_rule,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,1255,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0006,initial-P11,initial,initial,psynet_bot_rule,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,1316,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0007,initial-P11,initial,initial,psynet_bot_rule,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1292,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0008,initial-P11,initial,initial,psynet_bot_rule,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,1130,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0009,initial-P12,initial,initial,psynet_bot_rule,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,1254,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0010,initial-P12,initial,initial,psynet_bot_rule,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1136,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0011,initial-P12,initial,initial,psynet_bot_rule,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1114,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0012,initial-P12,initial,initial,psynet_bot_rule,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,1009,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0013,initial-P12,initial,initial,psynet_bot_rule,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,1204,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0014,initial-P12,initial,initial,psynet_bot_rule,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,1434,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0015,initial-P12,initial,initial,psynet_bot_rule,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1284,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0016,initial-P12,initial,initial,psynet_bot_rule,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,1439,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0017,initial-P13,initial,initial,psynet_bot_rule,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,958,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0018,initial-P13,initial,initial,psynet_bot_rule,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,861,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0019,initial-P13,initial,initial,psynet_bot_rule,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,877,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0020,initial-P13,initial,initial,psynet_bot_rule,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,1142,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0021,initial-P13,initial,initial,psynet_bot_rule,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,1457,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0022,initial-P13,initial,initial,psynet_bot_rule,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,1442,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0023,initial-P13,initial,initial,psynet_bot_rule,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1206,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0024,initial-P13,initial,initial,psynet_bot_rule,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,1326,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0025,initial-P21,initial,initial,scripted_noisy,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2849,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0026,initial-P21,initial,initial,scripted_noisy,2,L02,literal,harbor,anchor,sail,apple,velvet,sail,semantic_lure,0,2898,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0027,initial-P21,initial,initial,scripted_noisy,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,2953,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0028,initial-P21,initial,initial,scripted_noisy,4,L04,literal,kitchen,spoon,fork,book,planet,book,recent_lure,0,2696,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0029,initial-P21,initial,initial,scripted_noisy,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,3165,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0030,initial-P21,initial,initial,scripted_noisy,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,3125,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0031,initial-P21,initial,initial,scripted_noisy,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,2997,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0032,initial-P21,initial,initial,scripted_noisy,8,I04,interference,market,basket,coin,cactus,cloud,cloud,neutral_lure,0,2998,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0033,initial-P22,initial,initial,scripted_noisy,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2959,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0034,initial-P22,initial,initial,scripted_noisy,2,L02,literal,harbor,anchor,sail,apple,velvet,velvet,neutral_lure,0,2640,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0035,initial-P22,initial,initial,scripted_noisy,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,2874,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0036,initial-P22,initial,initial,scripted_noisy,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,2676,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0037,initial-P22,initial,initial,scripted_noisy,5,I01,interference,garden,window,flower,spoon,violin,flower,semantic_lure,0,3017,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0038,initial-P22,initial,initial,scripted_noisy,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,3133,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0039,initial-P22,initial,initial,scripted_noisy,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,2973,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0040,initial-P22,initial,initial,scripted_noisy,8,I04,interference,market,basket,coin,cactus,cloud,cloud,neutral_lure,0,2812,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0041,initial-P23,initial,initial,scripted_noisy,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2670,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0042,initial-P23,initial,initial,scripted_noisy,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,2627,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0043,initial-P23,initial,initial,scripted_noisy,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,2704,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0044,initial-P23,initial,initial,scripted_noisy,4,L04,literal,kitchen,spoon,fork,book,planet,fork,semantic_lure,0,2877,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0045,initial-P23,initial,initial,scripted_noisy,5,I01,interference,garden,window,flower,spoon,violin,flower,semantic_lure,0,3064,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0046,initial-P23,initial,initial,scripted_noisy,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,2987,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0047,initial-P23,initial,initial,scripted_noisy,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,3104,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
