shape,seed_id,generation,response_x,response_y
circle,circle_000,0,85.736,200.755
circle,circle_000,1,69.622,221.03
circle,circle_000,2,91.114,243.097
circle,circle_000,3,85.853,243.598
circle,circle_000,4,98.823,237.771
circle,circle_000,5,102.042,227.535
circle,circle_000,6,107.181,224.948
circle,circle_000,7,111.905,258.269
circle,circle_000,8,132.554,279.705
circle,circle_000,9,106.35,287.214
circle,circle_000,10,102.405,267.19
circle,circle_001,0,343.974,328.795
circle,circle_001,1,343.69,266.298
circle,circle_001,2,320.695,269.693
circle,circle_001,3,300.372,286.572
circle,circle_001,4,290.907,298.607
circle,circle_001,5,302.328,279.188
circle,circle_001,6,293.504,278.055
circle,circle_001,7,286.715,266.613
circle,circle_001,8,273.256,276.518
circle,circle_001,9,262.034,269.66
circle,circle_001,10,278.558,282.875
circle,circle_002,0,197.309,325.026
circle,circle_002,1,174.926,325.967
circle,circle_002,2,172.829,306.458
circle,circle_002,3,155.108,298.717
circle,circle_002,4,146.367,300.221
circle,circle_002,5,158.338,300.698
circle,circle_002,6,152.185,290.955
circle,circle_002,7,132.641,277.706
circle,circle_002,8,119.787,279.399
circle,circle_002,9,133.605,267.579
circle,circle_002,10,115.696,274.981
circle,circle_003,0,213.69,217.939
circle,circle_003,1,226.871,225.556
circle,circle_003,2,246.472,226.197
circle,circle_003,3,229.089,244.833
circle,circle_003,4,233.434,259.112
circle,circle_003,5,246.07,268.31
circle,circle_003,6,245.774,257.042
circle,circle_003,7,240.084,267.574
circle,circle_003,8,221.996,272.983
circle,circle_003,9,237.285,289.907
circle,circle_003,10,224.988,285.413
circle,circle_004,0,322.18,299.421
circle,circle_004,1,298.579,320.468
circle,circle_004,2,309.577,320.656
circle,circle_004,3,304.716,294.008
circle,circle_004,4,265.559,299.91
circle,circle_004,5,294.068,289.231
circle,circle_004,6,285.43,287.266
circle,circle_004,7,282.333,300.421
circle,circle_004,8,299.392,307.013
circle,circle_004,9,281.909,306.96
circle,circle_004,10,281.642,299.435
circle,circle_005,0,74.92,288.131
circle,circle_005,1,87.788,303.964
circle,circle_005,2,97.187,264.72
circle,circle_005,3,94.523,252.901
circle,circle_005,4,108.008,269.804
circle,circle_005,5,92.059,261.555
circle,circle_005,6,114.27,262.039
circle,circle_005,7,114.583,260.19
circle,circle_005,8,119.03,282.798
circle,circle_005,9,144.957,275.131
circle,circle_005,10,132.511,276.332
circle,circle_006,0,285.031,324.505
circle,circle_006,1,279.005,324.621
circle,circle_006,2,284.897,297.41
circle,circle_006,3,284.247,294.607
circle,circle_006,4,304.422,307.334
circle,circle_006,5,308.967,303.488
circle,circle_006,6,287.382,314.646
circle,circle_006,7,300.648,307.452
circle,circle_006,8,289.675,309.532
circle,circle_006,9,283.925,307.136
circle,circle_006,10,298.885,294.184
circle,circle_007,0,205.884,180.082
circle,circle_007,1,217.566,178.29
circle,circle_007,2,232.904,157.524
circle,circle_007,3,239.181,152.094
circle,circle_007,4,254.094,141.234
circle,circle_007,5,237.479,128.392
circle,circle_007,6,228.581,132.539
circle,circle_007,7,250.694,148.001
circle,circle_007,8,263.819,135.413
circle,circle_007,9,245.944,126.833
circle,circle_007,10,223.1,121.478
circle,circle_008,0,166.991,177.606
circle,circle_008,1,149.32,164.181
circle,circle_008,2,137.073,163.046
circle,circle_008,3,131.005,166.192
circle,circle_008,4,130.47,140.023
circle,circle_008,5,116.232,136.743
circle,circle_008,6,110.753,132.795
circle,circle_008,7,120.04,106.995
circle,circle_008,8,130.215,87.556
circle,circle_008,9,131.126,128.643
circle,circle_008,10,141.55,113.286
circle,circle_009,0,304.848,251.12
circle,circle_009,1,309.641,256.283
circle,circle_009,2,310.578,276.843
circle,circle_009,3,287.493,270.631
circle,circle_009,4,301.314,286.372
circle,circle_009,5,279.526,278.802
circle,circle_009,6,282.066,289.731
circle,circle_009,7,279.608,303.459
circle,circle_009,8,287.892,302.945
circle,circle_009,9,293.333,294.291
circle,circle_009,10,280.831,270.184
circle,circle_010,0,239.026,201.988
circle,circle_010,1,246.348,248.259
circle,circle_010,2,252.889,268.073
circle,circle_010,3,260.161,276.087
circle,circle_010,4,242.108,291.825
circle,circle_010,5,254.97,275.252
circle,circle_010,6,267.806,277.149
circle,circle_010,7,277.812,278.905
circle,circle_010,8,271.738,263.537
circle,circle_010,9,285.165,263.43
circle,circle_010,10,287.023,250.606
circle,circle_011,0,327.423,144.819
circle,circle_011,1,317.249,152.023
circle,circle_011,2,333.276,139.564
circle,circle_011,3,308.315,110.278
circle,circle_011,4,288.065,86.204
circle,circle_011,5,261.644,115.901
circle,circle_011,6,253.653,133.691
circle,circle_011,7,258.407,130.959
circle,circle_011,8,260.831,117.769
circle,circle_011,9,288.72,112.352
circle,circle_011,10,302.252,129.937
circle,circle_012,0,212.647,152.745
circle,circle_012,1,212.216,135.818
circle,circle_012,2,244.921,143.126
circle,circle_012,3,259.704,141.21
circle,circle_012,4,253.964,150.182
circle,circle_012,5,259.501,139.123
circle,circle_012,6,254.485,128.02
circle,circle_012,7,254.453,132.173
circle,circle_012,8,253.557,133.125
circle,circle_012,9,272.449,140.968
circle,circle_012,10,258.544,109.299
circle,circle_013,0,126.492,94.305
circle,circle_013,1,135.029,103.03
circle,circle_013,2,120.736,109.13
circle,circle_013,3,108.171,140.86
circle,circle_013,4,90.796,121.216
circle,circle_013,5,81.165,114.718
circle,circle_013,6,107.197,112.437
circle,circle_013,7,109.024,132.877
circle,circle_013,8,112.421,117.914
circle,circle_013,9,113.466,116.849
circle,circle_013,10,129.818,115.723
circle,circle_014,0,308.632,328.169
circle,circle_014,1,311.515,307.378
circle,circle_014,2,334.261,294.95
circle,circle_014,3,321.747,315.051
circle,circle_014,4,305.223,312.479
circle,circle_014,5,286.443,317.711
circle,circle_014,6,270.589,302.704
circle,circle_014,7,277.343,279.712
circle,circle_014,8,285.041,296.701
circle,circle_014,9,299.278,314.676
circle,circle_014,10,316.568,297.664
circle,circle_015,0,288.61,241.735
circle,circle_015,1,297.039,258.787
circle,circle_015,2,291.425,257.693
circle,circle_015,3,285.086,216.331
circle,circle_015,4,292.698,235.205
circle,circle_015,5,299.127,233.768
circle,circle_015,6,264.653,232.418
circle,circle_015,7,244.518,268.516
circle,circle_015,8,235.869,269.787
circle,circle_015,9,256.691,285.631
circle,circle_015,10,281.355,294.863
circle,circle_016,0,62.477,227.817
circle,circle_016,1,80.377,234.904
circle,circle_016,2,87.149,263.172
circle,circle_016,3,74.576,295.156
circle,circle_016,4,95.392,310.886
circle,circle_016,5,119.993,303.291
circle,circle_016,6,106.476,298.476
circle,circle_016,7,120.928,267.384
circle,circle_016,8,164.363,265.124
circle,circle_016,9,159.412,283.059
circle,circle_016,10,155.3,296.826
circle,circle_017,0,204.498,314.697
circle,circle_017,1,225.129,304.338
circle,circle_017,2,231.711,306.354
circle,circle_017,3,246.818,306.33
circle,circle_017,4,250.9,294.647
circle,circle_017,5,273.948,289.14
circle,circle_017,6,290.352,271.682
circle,circle_017,7,274.233,286.24
circle,circle_017,8,268.634,274.879
circle,circle_017,9,277.378,272.759
circle,circle_017,10,253.867,271.886
circle,circle_018,0,225.595,74.765
circle,circle_018,1,241.84,81.948
circle,circle_018,2,241.287,92.969
circle,circle_018,3,252.319,91.233
circle,circle_018,4,253.058,113.049
circle,circle_018,5,246.682,139.682
circle,circle_018,6,251.815,108.866
circle,circle_018,7,253.057,116.622
circle,circle_018,8,263.781,108.969
circle,circle_018,9,263.833,100.891
circle,circle_018,10,271.45,93.256
circle,circle_019,0,96.314,272.909
circle,circle_019,1,99.193,269.233
circle,circle_019,2,102.288,296.801
circle,circle_019,3,96.624,314.659
circle,circle_019,4,96.323,307.447
circle,circle_019,5,96.315,292.966
circle,circle_019,6,119.382,286.441
circle,circle_019,7,127.302,292.214
circle,circle_019,8,112.545,292.223
circle,circle_019,9,135.081,291.609
circle,circle_019,10,125.451,277.89
circle,circle_020,0,322.563,304.207
circle,circle_020,1,329.095,291.782
circle,circle_020,2,306.801,285.917
circle,circle_020,3,292.326,293.587
circle,circle_020,4,307.345,280.061
circle,circle_020,5,316.285,281.142
circle,circle_020,6,305.965,292.543
circle,circle_020,7,290.407,278.433
circle,circle_020,8,290.098,264.325
circle,circle_020,9,296.342,261.131
circle,circle_020,10,300.674,268.552
circle,circle_021,0,130.593,55.336
circle,circle_021,1,131.268,87.343
circle,circle_021,2,125.028,114.561
circle,circle_021,3,141.175,125.59
circle,circle_021,4,133.336,123.548
circle,circle_021,5,139.2,129.13
circle,circle_021,6,136.596,140.813
circle,circle_021,7,125.696,130.066
circle,circle_021,8,117.958,142.922
circle,circle_021,9,113.861,117.411
circle,circle_021,10,109.787,115.878
circle,circle_022,0,105.577,270.275
circle,circle_022,1,148.326,270.196
circle,circle_022,2,156.501,262.786
circle,circle_022,3,139.764,277.695
circle,circle_022,4,126.405,272.143
circle,circle_022,5,143.066,257.71
circle,circle_022,6,151.294,267.401
circle,circle_022,7,165.964,274.155
circle,circle_022,8,152.566,297.587
circle,circle_022,9,146.739,302.523
circle,circle_022,10,146.448,285.224
circle,circle_023,0,173.258,69.366
circle,circle_023,1,155.006,64.712
circle,circle_023,2,136.032,60.029
circle,circle_023,3,127.056,91.054
circle,circle_023,4,138.146,107.534
circle,circle_023,5,121.652,109.404
circle,circle_023,6,116.286,123.151
circle,circle_023,7,133.668,157.665
circle,circle_023,8,135.105,141.033
circle,circle_023,9,129.391,166.666
circle,circle_023,10,137.662,142.214
triangle,triangle_000,0,232.807,114.453
triangle,triangle_000,1,217.732,106.817
triangle,triangle_000,2,199.689,98.506
triangle,triangle_000,3,174.035,91.347
triangle,triangle_000,4,175.077,114.398
triangle,triangle_000,5,162.666,105.958
triangle,triangle_000,6,176.54,88.967
triangle,triangle_000,7,193.275,86.228
triangle,triangle_000,8,180.237,73.766
triangle,triangle_000,9,192.477,88.946
triangle,triangle_000,10,212.614,83.777
triangle,triangle_001,0,247.095,68.323
triangle,triangle_001,1,234.985,68.609
triangle,triangle_001,2,235.588,41.82
triangle,triangle_001,3,232.85,61.765
triangle,triangle_001,4,214.632,63.81
triangle,triangle_001,5,205.28,70.558
triangle,triangle_001,6,214.464,75.957
triangle,triangle_001,7,223.783,92.411
triangle,triangle_001,8,203.619,89.989
triangle,triangle_001,9,214.439,88.857
triangle,triangle_001,10,202.506,98.633
triangle,triangle_002,0,96.505,147.351
triangle,triangle_002,1,121.867,124.856
triangle,triangle_002,2,146.735,112.572
triangle,triangle_002,3,141.439,93.006
triangle,triangle_002,4,158.928,80.125
triangle,triangle_002,5,167.959,72.321
triangle,triangle_002,6,182.756,96.8
triangle,triangle_002,7,172.529,98.552
triangle,triangle_002,8,181.388,86.464
triangle,triangle_002,9,189.207,118.32
triangle,triangle_002,10,191.202,115.019
triangle,triangle_003,0,176.953,306.85
triangle,triangle_003,1,151.48,280.511
triangle,triangle_003,2,133.034,284.195
triangle,triangle_003,3,146.2,291.314
triangle,triangle_003,4,162.098,317.254
triangle,triangle_003,5,149.867,314.387
triangle,triangle_003,6,159.623,328.545
triangle,triangle_003,7,143.042,323.656
triangle,triangle_003,8,145.337,341.859
triangle,triangle_003,9,150.009,367.879
triangle,triangle_003,10,144.824,356.929
triangle,triangle_004,0,324.101,286.835
triangle,triangle_004,1,317.288,305.38
triangle,triangle_004,2,330.993,307.617
triangle,triangle_004,3,343.977,292.017
triangle,triangle_004,4,327.4,297.578
triangle,triangle_004,5,327.005,285.02
triangle,triangle_004,6,336.329,289.297
triangle,triangle_004,7,315.424,284.106
triangle,triangle_004,8,331.459,283.194
triangle,triangle_004,9,320.854,299.549
triangle,triangle_004,10,311.828,289.32
triangle,triangle_005,0,207.619,209.093
triangle,triangle_005,1,216.805,179.0
triangle,triangle_005,2,231.792,155.305
triangle,triangle_005,3,252.277,146.782
triangle,triangle_005,4,228.631,123.028
triangle,triangle_005,5,213.031,97.512
triangle,triangle_005,6,197.885,96.572
triangle,triangle_005,7,223.2,95.755
triangle,triangle_005,8,223.576,95.923
triangle,triangle_005,9,233.252,100.24
triangle,triangle_005,10,225.662,129.297
triangle,triangle_006,0,230.587,85.902
triangle,triangle_006,1,252.311,77.902
triangle,triangle_006,2,238.188,67.591
triangle,triangle_006,3,219.022,73.159
triangle,triangle_006,4,232.353,63.036
triangle,triangle_006,5,213.456,76.963
triangle,triangle_006,6,220.341,66.778
triangle,triangle_006,7,199.993,71.693
triangle,triangle_006,8,176.586,82.401
triangle,triangle_006,9,165.579,72.57
triangle,triangle_006,10,170.07,74.905
triangle,triangle_007,0,60.213,189.626
triangle,triangle_007,1,74.694,230.781
triangle,triangle_007,2,68.819,251.591
triangle,triangle_007,3,55.476,276.763
triangle,triangle_007,4,82.554,288.973
triangle,triangle_007,5,52.725,290.827
triangle,triangle_007,6,72.131,304.851
triangle,triangle_007,7,78.205,311.349
triangle,triangle_007,8,87.889,322.59
triangle,triangle_007,9,93.187,323.012
triangle,triangle_007,10,105.428,318.537
triangle,triangle_008,0,128.803,290.12
triangle,triangle_008,1,98.011,296.851
triangle,triangle_008,2,102.557,304.522
triangle,triangle_008,3,106.796,301.237
triangle,triangle_008,4,114.917,284.075
triangle,triangle_008,5,82.19,280.698
triangle,triangle_008,6,81.047,287.828
triangle,triangle_008,7,118.513,285.041
triangle,triangle_008,8,101.919,268.638
triangle,triangle_008,9,68.416,277.274
triangle,triangle_008,10,101.469,278.952
triangle,triangle_009,0,341.307,64.104
triangle,triangle_009,1,320.416,78.783
triangle,triangle_009,2,289.213,80.672
triangle,triangle_009,3,264.167,77.867
triangle,triangle_009,4,253.452,76.188
triangle,triangle_009,5,236.302,61.684
triangle,triangle_009,6,213.953,62.207
triangle,triangle_009,7,198.127,63.389
triangle,triangle_009,8,207.29,72.014
triangle,triangle_009,9,193.916,70.927
triangle,triangle_009,10,192.929,75.735
triangle,triangle_010,0,252.46,103.541
triangle,triangle_010,1,241.941,113.532
triangle,triangle_010,2,221.215,103.784
triangle,triangle_010,3,214.688,115.554
triangle,triangle_010,4,216.167,110.597
triangle,triangle_010,5,202.386,119.928
triangle,triangle_010,6,225.604,131.285
triangle,triangle_010,7,235.923,99.766
triangle,triangle_010,8,235.173,81.002
triangle,triangle_010,9,221.233,62.152
triangle,triangle_010,10,211.411,80.8
triangle,triangle_011,0,163.863,339.739
triangle,triangle_011,1,138.043,337.181
triangle,triangle_011,2,118.762,328.826
triangle,triangle_011,3,105.88,345.998
triangle,triangle_011,4,94.003,331.295
triangle,triangle_011,5,93.836,337.949
triangle,triangle_011,6,101.526,346.779
triangle,triangle_011,7,97.838,324.566
triangle,triangle_011,8,85.468,315.975
triangle,triangle_011,9,52.566,307.505
triangle,triangle_011,10,51.389,325.939
triangle,triangle_012,0,122.796,191.439
triangle,triangle_012,1,130.215,218.287
triangle,triangle_012,2,99.806,243.652
triangle,triangle_012,3,102.199,266.654
triangle,triangle_012,4,90.272,271.476
triangle,triangle_012,5,81.908,287.691
triangle,triangle_012,6,73.952,297.667
triangle,triangle_012,7,89.22,316.061
triangle,triangle_012,8,106.724,314.908
triangle,triangle_012,9,122.241,327.491
triangle,triangle_012,10,117.026,329.883
triangle,triangle_013,0,280.797,268.375
triangle,triangle_013,1,293.781,271.396
triangle,triangle_013,2,297.452,268.87
triangle,triangle_013,3,297.724,291.178
triangle,triangle_013,4,309.965,312.031
triangle,triangle_013,5,318.814,313.185
triangle,triangle_013,6,309.887,292.808
triangle,triangle_013,7,310.744,284.435
triangle,triangle_013,8,323.481,277.39
triangle,triangle_013,9,322.74,291.715
triangle,triangle_013,10,305.932,308.484
triangle,triangle_014,0,234.926,140.864
triangle,triangle_014,1,194.64,114.614
triangle,triangle_014,2,189.172,93.653
triangle,triangle_014,3,197.959,85.279
triangle,triangle_014,4,192.144,83.605
triangle,triangle_014,5,185.339,76.681
triangle,triangle_014,6,193.302,89.692
triangle,triangle_014,7,180.039,80.148
triangle,triangle_014,8,172.043,90.871
triangle,triangle_014,9,187.446,91.873
triangle,triangle_014,10,205.229,92.494
triangle,triangle_015,0,174.207,345.207
triangle,triangle_015,1,147.977,329.263
triangle,triangle_015,2,155.191,301.852
triangle,triangle_015,3,141.077,328.477
triangle,triangle_015,4,150.05,324.763
triangle,triangle_015,5,147.568,315.704
triangle,triangle_015,6,132.795,325.577
triangle,triangle_015,7,117.094,333.351
triangle,triangle_015,8,97.481,312.54
triangle,triangle_015,9,109.59,293.312
triangle,triangle_015,10,92.305,293.38
triangle,triangle_016,0,58.741,120.837
triangle,triangle_016,1,103.697,125.458
triangle,triangle_016,2,104.361,116.773
triangle,triangle_016,3,120.597,109.802
triangle,triangle_016,4,145.391,102.518
triangle,triangle_016,5,165.194,101.631
triangle,triangle_016,6,184.755,107.896
triangle,triangle_016,7,159.098,68.956
triangle,triangle_016,8,158.286,62.434
triangle,triangle_016,9,155.164,92.369
triangle,triangle_016,10,168.872,91.655
triangle,triangle_017,0,238.202,79.863
triangle,triangle_017,1,249.234,94.675
triangle,triangle_017,2,249.877,78.817
triangle,triangle_017,3,221.316,80.714
triangle,triangle_017,4,226.646,88.972
triangle,triangle_017,5,230.592,98.213
triangle,triangle_017,6,228.47,88.405
triangle,triangle_017,7,246.464,85.766
triangle,triangle_017,8,208.286,98.717
triangle,triangle_017,9,225.389,104.197
triangle,triangle_017,10,185.528,116.09
triangle,triangle_018,0,192.672,274.154
triangle,triangle_018,1,185.627,289.599
triangle,triangle_018,2,162.838,303.051
triangle,triangle_018,3,147.182,295.186
triangle,triangle_018,4,128.832,310.439
triangle,triangle_018,5,138.858,338.279
triangle,triangle_018,6,115.178,322.145
triangle,triangle_018,7,115.335,347.693
triangle,triangle_018,8,121.12,323.216
triangle,triangle_018,9,106.452,341.419
triangle,triangle_018,10,94.658,348.047
triangle,triangle_019,0,145.748,307.353
triangle,triangle_019,1,146.048,305.363
triangle,triangle_019,2,137.825,294.571
triangle,triangle_019,3,138.504,316.796
triangle,triangle_019,4,150.746,324.279
triangle,triangle_019,5,131.533,324.041
triangle,triangle_019,6,126.405,299.562
triangle,triangle_019,7,132.495,337.213
triangle,triangle_019,8,127.047,321.292
triangle,triangle_019,9,115.24,335.954
triangle,triangle_019,10,127.307,330.997
triangle,triangle_020,0,325.278,230.261
triangle,triangle_020,1,315.046,262.285
triangle,triangle_020,2,329.931,266.832
triangle,triangle_020,3,317.312,267.671
triangle,triangle_020,4,302.401,286.148
triangle,triangle_020,5,300.129,297.153
triangle,triangle_020,6,286.024,318.129
triangle,triangle_020,7,266.554,329.742
triangle,triangle_020,8,255.758,321.283
triangle,triangle_020,9,248.719,340.814
triangle,triangle_020,10,248.348,345.699
triangle,triangle_021,0,158.051,189.793
triangle,triangle_021,1,146.31,143.379
triangle,triangle_021,2,148.88,159.724
triangle,triangle_021,3,162.127,131.178
triangle,triangle_021,4,165.006,125.694
triangle,triangle_021,5,163.963,137.63
triangle,triangle_021,6,171.035,120.653
triangle,triangle_021,7,177.382,114.402
triangle,triangle_021,8,190.008,123.052
triangle,triangle_021,9,220.408,97.874
triangle,triangle_021,10,211.616,91.372
triangle,triangle_022,0,235.223,136.726
triangle,triangle_022,1,238.691,129.344
triangle,triangle_022,2,264.977,146.383
triangle,triangle_022,3,268.932,115.144
triangle,triangle_022,4,268.037,112.868
triangle,triangle_022,5,250.579,90.836
triangle,triangle_022,6,261.688,113.921
triangle,triangle_022,7,244.565,103.338
triangle,triangle_022,8,236.255,86.197
triangle,triangle_022,9,243.547,76.68
triangle,triangle_022,10,241.266,65.521
triangle,triangle_023,0,94.871,241.872
triangle,triangle_023,1,101.279,260.219
triangle,triangle_023,2,94.837,276.633
triangle,triangle_023,3,77.219,290.88
triangle,triangle_023,4,86.874,283.596
triangle,triangle_023,5,72.793,273.815
triangle,triangle_023,6,72.332,305.977
triangle,triangle_023,7,81.228,293.903
triangle,triangle_023,8,81.043,319.595
triangle,triangle_023,9,76.203,315.798
triangle,triangle_023,10,70.502,334.052
square,square_000,0,80.917,189.894
square,square_000,1,97.717,170.749
square,square_000,2,135.678,169.865
square,square_000,3,112.701,164.658
square,square_000,4,107.633,155.565
square,square_000,5,102.415,144.848
square,square_000,6,95.615,130.757
square,square_000,7,77.694,116.775
square,square_000,8,72.228,114.774
square,square_000,9,81.503,103.722
square,square_000,10,96.398,115.993
square,square_001,0,226.395,191.269
square,square_001,1,254.954,186.189
square,square_001,2,281.195,156.467
square,square_001,3,301.191,131.238
square,square_001,4,293.213,115.016
square,square_001,5,311.076,108.939
square,square_001,6,319.909,105.616
square,square_001,7,333.365,95.88
square,square_001,8,295.069,101.854
square,square_001,9,302.923,97.624
square,square_001,10,275.941,106.018
square,square_002,0,112.348,87.064
square,square_002,1,132.55,85.806
square,square_002,2,133.636,94.725
square,square_002,3,113.789,129.255
square,square_002,4,102.63,97.57
square,square_002,5,111.531,93.414
square,square_002,6,83.918,105.808
square,square_002,7,71.099,78.979
square,square_002,8,116.618,87.534
square,square_002,9,117.374,108.439
square,square_002,10,108.373,115.103
square,square_003,0,254.904,212.184
square,square_003,1,264.657,234.221
square,square_003,2,283.852,238.378
