arguments,vars,id,creation_time,failed,failed_reason,time_of_death,label,function,pending,finished,time_enqueued,time_started,time_finished,time_taken,queue_delay,_unique_key,participant_id,trial_maker_id,network_id,node_id,trial_id,response_id,asset_id,type,redis_job_id,timeout,timeout_scheduled_for,cancelled,class,object_type
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 1}}}",{},1,2026-06-15 09:30:16,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:16,2026-06-15 09:30:16,2026-06-15 09:30:18,1.0728236200011452,0.317306,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 1}}}}",1.0,gibbs_demo,,,1.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:16,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 2}}}",{},2,2026-06-15 09:30:16,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:16,2026-06-15 09:30:16,2026-06-15 09:30:18,1.0864177680014109,0.152968,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 2}}}}",1.0,gibbs_demo,,,2.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:16,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 3}}}",{},3,2026-06-15 09:30:16,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:16,2026-06-15 09:30:17,2026-06-15 09:30:18,1.061297452000872,0.029571,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 3}}}}",1.0,gibbs_demo,,,3.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:16,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 4}}}",{},4,2026-06-15 09:30:17,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:17,2026-06-15 09:30:17,2026-06-15 09:30:18,1.0236389989986492,0.037003,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 4}}}}",1.0,gibbs_demo,,,4.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:17,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 5}}}",{},5,2026-06-15 09:30:17,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:17,2026-06-15 09:30:17,2026-06-15 09:30:18,1.0234194140030013,0.028391,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 5}}}}",1.0,gibbs_demo,,,5.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:17,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 6}}}",{},6,2026-06-15 09:30:17,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:17,2026-06-15 09:30:17,2026-06-15 09:30:18,1.0242620749995694,0.026443,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 6}}}}",1.0,gibbs_demo,,,6.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:17,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 7}}}",{},7,2026-06-15 09:30:17,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:17,2026-06-15 09:30:17,2026-06-15 09:30:18,1.0239066969988926,0.025024,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 7}}}}",1.0,gibbs_demo,,,7.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:17,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 8}}}",{},8,2026-06-15 09:30:18,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:18,2026-06-15 09:30:18,2026-06-15 09:30:19,1.0266800790013804,0.056208,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 8}}}}",2.0,gibbs_demo,,,8.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:18,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 9}}}",{},9,2026-06-15 09:30:18,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:18,2026-06-15 09:30:18,2026-06-15 09:30:19,1.021685506002541,0.031675,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 9}}}}",2.0,gibbs_demo,,,9.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:18,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 10}}}",{},10,2026-06-15 09:30:19,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:19,2026-06-15 09:30:19,2026-06-15 09:30:20,1.0239332189994457,0.027078,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 10}}}}",2.0,gibbs_demo,,,10.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:19,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 11}}}",{},11,2026-06-15 09:30:19,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:19,2026-06-15 09:30:19,2026-06-15 09:30:20,1.0260244059973047,0.031322,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 11}}}}",2.0,gibbs_demo,,,11.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:19,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 12}}}",{},12,2026-06-15 09:30:19,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:19,2026-06-15 09:30:19,2026-06-15 09:30:20,1.0212079400007497,0.02963,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 12}}}}",2.0,gibbs_demo,,,12.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:19,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 13}}}",{},13,2026-06-15 09:30:19,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:19,2026-06-15 09:30:19,2026-06-15 09:30:20,1.0226972920027038,0.025173,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 13}}}}",2.0,gibbs_demo,,,13.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:19,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 14}}}",{},14,2026-06-15 09:30:19,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:19,2026-06-15 09:30:19,2026-06-15 09:30:20,1.0218568780001078,0.023123,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 14}}}}",2.0,gibbs_demo,,,14.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:19,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 15}}}",{},15,2026-06-15 09:30:20,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:20,2026-06-15 09:30:20,2026-06-15 09:30:21,1.0180667960012215,0.046757,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 15}}}}",3.0,gibbs_demo,,,15.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:20,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 16}}}",{},16,2026-06-15 09:30:20,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:20,2026-06-15 09:30:20,2026-06-15 09:30:21,1.0209306079996168,0.031415,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 16}}}}",3.0,gibbs_demo,,,16.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:20,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 17}}}",{},17,2026-06-15 09:30:21,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-15 09:30:21,2026-06-15 09:30:21,2026-06-15 09:30:22,1.0225464579998516,0.030743,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 17}}}}",3.0,gibbs_demo,,,17.0,,,WorkerAsyncProcess,,300.0,2026-06-15 09:35:21,False,WorkerAsyncProcess,AsyncProcess
