vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},1,2026-06-15 20:41:20,False,,,Response,1,info,,InfoPage,True,127.0.0.1,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},2,2026-06-15 20:41:20,False,,,Response,1,prediction_waiting_times,20.0,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},3,2026-06-15 20:41:20,False,,,Response,1,prediction_marriages,21.8,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},4,2026-06-15 20:41:20,False,,,Response,1,prediction_poem_lengths,9.3,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},5,2026-06-15 20:41:20,False,,,Response,1,prediction_life_spans,70.2,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},6,2026-06-15 20:41:21,False,,,Response,1,prediction_movie_run_times,98.8,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},7,2026-06-15 20:41:21,False,,,Response,1,info,,InfoPage,True,127.0.0.1,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},8,2026-06-15 20:41:21,False,,,Response,1,SuccessfulEndLogic,Finish,ModularPage,True,127.0.0.1,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},9,2026-06-15 20:41:21,False,,,Response,2,info,,InfoPage,True,127.0.0.1,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},10,2026-06-15 20:41:21,False,,,Response,2,prediction_life_spans,85.1,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},11,2026-06-15 20:41:21,False,,,Response,2,prediction_movie_run_times,85.2,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},12,2026-06-15 20:41:21,False,,,Response,2,prediction_waiting_times,27.0,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},13,2026-06-15 20:41:22,False,,,Response,2,prediction_marriages,19.0,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},14,2026-06-15 20:41:22,False,,,Response,2,prediction_poem_lengths,58.4,ModularPage,True,127.0.0.1,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},15,2026-06-15 20:41:22,False,,,Response,2,info,,InfoPage,True,127.0.0.1,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
