parent,vars,id,creation_time,psynet_version,deployment_id,deposited,inherited,inherited_from,module_id,local_key,key_within_module,key_within_experiment,export_path,is_global,module_state_id,participant_id,trial_id,node_id,network_id,description,personal,content_id,host_path,url,is_folder,data_type,extension,storage,node_definition,type,input_path,obfuscate,md5_contents,size_mb,deposit_time_sec,class,object_type,file_system_path
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 2}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_2__async_post_trial__5ab7da5c-cc66-4e36-bf3f-d14b12128d33.txt""}",1,2026-06-15 10:11:01,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_1__degree_0__node_1__trial_2__async_post_trial,gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_2__async_post_trial,gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_2__async_post_trial.txt,,,2,2,1,1,,False,0364bde1d7a395b784500e1b8bae8b7f,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_2__async_post_trial__5ab7da5c-cc66-4e36-bf3f-d14b12128d33.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_2__async_post_trial__5ab7da5c-cc66-4e36-bf3f-d14b12128d33.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpw1az32ek,1,0364bde1d7a395b784500e1b8bae8b7f,3.62396240234375e-05,0.00427774699346628,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_2__async_post_trial__5ab7da5c-cc66-4e36-bf3f-d14b12128d33.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 3}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_3__async_post_trial__8653e706-b384-40ae-a351-82082e997cf3.txt""}",2,2026-06-15 10:11:01,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_5__degree_0__node_5__trial_3__async_post_trial,gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_3__async_post_trial,gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_3__async_post_trial.txt,,,2,3,5,5,,False,3ea02e66f2795b000bab68fd1ee6b821,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_3__async_post_trial__8653e706-b384-40ae-a351-82082e997cf3.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_3__async_post_trial__8653e706-b384-40ae-a351-82082e997cf3.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpe81p3ib0,1,3ea02e66f2795b000bab68fd1ee6b821,3.62396240234375e-05,0.002268078998895362,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_3__async_post_trial__8653e706-b384-40ae-a351-82082e997cf3.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 4}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_4__async_post_trial__22fe29ce-85ce-4216-ad0b-3b691c92d1c9.txt""}",3,2026-06-15 10:11:01,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_3__degree_0__node_3__trial_4__async_post_trial,gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_4__async_post_trial,gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_4__async_post_trial.txt,,,2,4,3,3,,False,ff4d4261563f4f789011030dab04eb37,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_4__async_post_trial__22fe29ce-85ce-4216-ad0b-3b691c92d1c9.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_4__async_post_trial__22fe29ce-85ce-4216-ad0b-3b691c92d1c9.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpqhjx0_42,1,ff4d4261563f4f789011030dab04eb37,3.62396240234375e-05,0.002428013991448097,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_4__async_post_trial__22fe29ce-85ce-4216-ad0b-3b691c92d1c9.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 1}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_1__degree_0__node_1__trial_1__async_post_trial__0119ccea-6cb4-4d1a-bd02-1550d508d1db.txt""}",4,2026-06-15 10:11:01,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_1__degree_0__node_1__trial_1__async_post_trial,gibbs_demo/participants/participant_1/network_1__degree_0__node_1__trial_1__async_post_trial,gibbs_demo/participants/participant_1/network_1__degree_0__node_1__trial_1__async_post_trial.txt,,,1,1,1,1,,False,b2f156e1d59977e29354ff46f82594a6,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_1__degree_0__node_1__trial_1__async_post_trial__0119ccea-6cb4-4d1a-bd02-1550d508d1db.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_1__degree_0__node_1__trial_1__async_post_trial__0119ccea-6cb4-4d1a-bd02-1550d508d1db.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmp678h9yz1,1,b2f156e1d59977e29354ff46f82594a6,3.62396240234375e-05,0.002357503995881416,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_1__degree_0__node_1__trial_1__async_post_trial__0119ccea-6cb4-4d1a-bd02-1550d508d1db.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 5}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_5__async_post_trial__f28269f1-8284-41fd-84d9-92a95367d318.txt""}",5,2026-06-15 10:11:01,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_7__degree_0__node_7__trial_5__async_post_trial,gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_5__async_post_trial,gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_5__async_post_trial.txt,,,2,5,7,7,,False,5ff72bc915268784a24ae3ad6690d525,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_5__async_post_trial__f28269f1-8284-41fd-84d9-92a95367d318.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_5__async_post_trial__f28269f1-8284-41fd-84d9-92a95367d318.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmphm3hms3x,1,5ff72bc915268784a24ae3ad6690d525,3.62396240234375e-05,0.0020669849909609184,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_5__async_post_trial__f28269f1-8284-41fd-84d9-92a95367d318.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 7}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_7__async_post_trial__965ce06e-6de6-41ef-9e1f-bdd445946d7b.txt""}",6,2026-06-15 10:11:01,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_3__degree_0__node_3__trial_7__async_post_trial,gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_7__async_post_trial,gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_7__async_post_trial.txt,,,2,7,3,3,,False,79643ded6292213beaed8c4c6d08db65,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_7__async_post_trial__965ce06e-6de6-41ef-9e1f-bdd445946d7b.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_7__async_post_trial__965ce06e-6de6-41ef-9e1f-bdd445946d7b.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmp9piuzozw,1,79643ded6292213beaed8c4c6d08db65,3.62396240234375e-05,0.0018477459962014109,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_7__async_post_trial__965ce06e-6de6-41ef-9e1f-bdd445946d7b.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 8}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_8__async_post_trial__860474ee-6d9f-43c8-9ed2-987b7955b657.txt""}",7,2026-06-15 10:11:01,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_1__degree_0__node_1__trial_8__async_post_trial,gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_8__async_post_trial,gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_8__async_post_trial.txt,,,2,8,1,1,,False,11fe9321db178b64b4ba76abab56a30d,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_8__async_post_trial__860474ee-6d9f-43c8-9ed2-987b7955b657.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_8__async_post_trial__860474ee-6d9f-43c8-9ed2-987b7955b657.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpsn5jkyii,1,11fe9321db178b64b4ba76abab56a30d,3.62396240234375e-05,0.001959938002983108,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_8__async_post_trial__860474ee-6d9f-43c8-9ed2-987b7955b657.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 6}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_5__degree_0__node_5__trial_6__async_post_trial__8fcbc001-9bb1-43e7-a4b6-243e66129069.txt""}",8,2026-06-15 10:11:02,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_5__degree_0__node_5__trial_6__async_post_trial,gibbs_demo/participants/participant_1/network_5__degree_0__node_5__trial_6__async_post_trial,gibbs_demo/participants/participant_1/network_5__degree_0__node_5__trial_6__async_post_trial.txt,,,1,6,5,5,,False,8afbac4ff36317037df76d15fec9bb21,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_5__degree_0__node_5__trial_6__async_post_trial__8fcbc001-9bb1-43e7-a4b6-243e66129069.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_5__degree_0__node_5__trial_6__async_post_trial__8fcbc001-9bb1-43e7-a4b6-243e66129069.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpp5y4sxss,1,8afbac4ff36317037df76d15fec9bb21,3.62396240234375e-05,0.0030132620013318956,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_5__degree_0__node_5__trial_6__async_post_trial__8fcbc001-9bb1-43e7-a4b6-243e66129069.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 9}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_9__async_post_trial__0f353f1b-473d-49f8-8b6d-a4c3393059f4.txt""}",9,2026-06-15 10:11:02,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_7__degree_0__node_7__trial_9__async_post_trial,gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_9__async_post_trial,gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_9__async_post_trial.txt,,,2,9,7,7,,False,48dee2a368e6be8f183802e2d77af927,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_9__async_post_trial__0f353f1b-473d-49f8-8b6d-a4c3393059f4.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_9__async_post_trial__0f353f1b-473d-49f8-8b6d-a4c3393059f4.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmp8j3vithl,1,48dee2a368e6be8f183802e2d77af927,3.62396240234375e-05,0.001656769003602676,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_2/network_7__degree_0__node_7__trial_9__async_post_trial__0f353f1b-473d-49f8-8b6d-a4c3393059f4.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 10}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_7__degree_0__node_7__trial_10__async_post_trial__5e29ac2e-aa72-4449-869a-6319ad312ab1.txt""}",10,2026-06-15 10:11:02,13.3.0a0,hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_7__degree_0__node_7__trial_10__async_post_trial,gibbs_demo/participants/participant_1/network_7__degree_0__node_7__trial_10__async_post_trial,gibbs_demo/participants/participant_1/network_7__degree_0__node_7__trial_10__async_post_trial.txt,,,1,10,7,7,,False,756bf5bebe6116fdadc5361f25fac26c,experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_7__degree_0__node_7__trial_10__async_post_trial__5e29ac2e-aa72-4449-869a-6319ad312ab1.txt,/static/assets/experiments/hybrid-gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_7__degree_0__node_7__trial_10__async_post_trial__5e29ac2e-aa72-4449-869a-6319ad312ab1.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpfsx4kf76,1,756bf5bebe6116fdadc5361f25fac26c,3.719329833984375e-05,0.0019267949974164367,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/hybrid-gibbs-demo__mode=debug__launch=2026-06-15--10-10-20/gibbs_demo/participants/participant_1/network_7__degree_0__node_7__trial_10__async_post_trial__5e29ac2e-aa72-4449-869a-6319ad312ab1.txt
