vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,metadata_,class,object_type
{},1,2026-06-15 20:42:01,False,,,Response,1,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},2,2026-06-15 20:42:01,False,,,Response,1,prediction_life_spans,83.3,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},3,2026-06-15 20:42:02,False,,,Response,1,prediction_marriages,39.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},4,2026-06-15 20:42:02,False,,,Response,1,prediction_waiting_times,14.4,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},5,2026-06-15 20:42:02,False,,,Response,1,prediction_movie_run_times,58.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},6,2026-06-15 20:42:02,False,,,Response,1,prediction_poem_lengths,58.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},7,2026-06-15 20:42:02,False,,,Response,1,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},8,2026-06-15 20:42:03,False,,,Response,1,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},9,2026-06-15 20:42:03,False,,,Response,2,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},10,2026-06-15 20:42:03,False,,,Response,2,prediction_movie_run_times,112.3,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},11,2026-06-15 20:42:03,False,,,Response,2,prediction_waiting_times,50.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},12,2026-06-15 20:42:03,False,,,Response,2,prediction_life_spans,96,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},13,2026-06-15 20:42:03,False,,,Response,2,prediction_poem_lengths,22.3,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},14,2026-06-15 20:42:04,False,,,Response,2,prediction_marriages,28.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},15,2026-06-15 20:42:04,False,,,Response,2,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},16,2026-06-15 20:42:04,False,,,Response,2,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},17,2026-06-15 20:42:04,False,,,Response,3,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},18,2026-06-15 20:42:04,False,,,Response,3,prediction_marriages,22.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},19,2026-06-15 20:42:04,False,,,Response,3,prediction_life_spans,63.4,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},20,2026-06-15 20:42:05,False,,,Response,3,prediction_poem_lengths,14.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},21,2026-06-15 20:42:05,False,,,Response,3,prediction_movie_run_times,120.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},22,2026-06-15 20:42:05,False,,,Response,3,prediction_waiting_times,21.4,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
