vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},1,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,6,1,0,animals,animals,1000000,default,,,,False,False,False,False,,6,0,6,0,1,across,1,1000000,{},,A,StaticNetwork,Network
{},2,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,4,1,0,animals,animals,1000000,default,,,,False,False,False,False,,4,0,4,0,1,across,2,1000000,{},,B,StaticNetwork,Network
{},3,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,1,1,0,animals,animals,1000000,default,,,,False,False,False,False,,1,0,1,0,1,across,3,1000000,{},,C,StaticNetwork,Network
{},4,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,5,1,0,animals,animals,1000000,default,,,,False,False,False,False,,5,0,5,0,1,across,4,1000000,{},,A,StaticNetwork,Network
{},5,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,5,1,0,animals,animals,1000000,default,,,,False,False,False,False,,5,0,5,0,1,across,5,1000000,{},,B,StaticNetwork,Network
{},6,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,2,1,0,animals,animals,1000000,default,,,,False,False,False,False,,2,0,2,0,1,across,6,1000000,{},,C,StaticNetwork,Network
{},7,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,1,1,0,animals,animals,1000000,default,,,,False,False,False,False,,1,0,1,0,1,across,7,1000000,{},,A,StaticNetwork,Network
{},8,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,1,1,0,animals,animals,1000000,default,,,,False,False,False,False,,1,0,1,0,1,across,8,1000000,{},,B,StaticNetwork,Network
{},9,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,2,1,0,animals,animals,1000000,default,,,,False,False,False,False,,2,0,2,0,1,across,9,1000000,{},,C,StaticNetwork,Network
{},10,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,4,1,0,animals,animals,1000000,default,,,,False,False,False,False,,4,0,4,0,1,across,10,1000000,{},,A,StaticNetwork,Network
{},11,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,3,1,0,animals,animals,1000000,default,,,,False,False,False,False,,3,0,3,0,1,across,11,1000000,{},,B,StaticNetwork,Network
{},12,2026-06-14 14:31:10,False,,,StaticNetwork,1,False,default,0,0,1,1,0,animals,animals,1000000,default,,,,False,False,False,False,,1,0,1,0,1,across,12,1000000,{},,C,StaticNetwork,Network
