id,participant_id,animal,block,answer_choice,answer_choice_label,answer_recording_hash,definition_recording_hash,recording_object_key,recording_object_url,upload_status,upload_http_status,bytes_streamed,chunks_streamed,recording_started_at,recording_stopped_at,recording_error_code,recording_error_message,score
17,8,dogs,B,a_little,A little,,ea53bb544baabe8f6c29de83be2e7631bf7fd3f8,streaming-static-trials/ea53bb544baabe8f6c29de83be2e7631bf7fd3f8.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/ea53bb544baabe8f6c29de83be2e7631bf7fd3f8.webm,,,,,,,,,1.0
1,1,fish,C,not_at_all,Not at all,,98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403,streaming-static-trials/98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403.webm,,,,,,,,,0.0
3,2,dogs,A,not_at_all,Not at all,,10f94392d3ad0d519e91be0ef8a1c47f9a751493,streaming-static-trials/10f94392d3ad0d519e91be0ef8a1c47f9a751493.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/10f94392d3ad0d519e91be0ef8a1c47f9a751493.webm,,,,,,,,,0.0
6,4,cats,A,not_at_all,Not at all,,629c44806848dab44e342f6a04a7be688847cd25,streaming-static-trials/629c44806848dab44e342f6a04a7be688847cd25.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/629c44806848dab44e342f6a04a7be688847cd25.webm,,,,,,,,,0.0
2,2,ponies,A,very_much,Very much,,82244a27ada9795ca86fdbfff22616c5077c0ba3,streaming-static-trials/82244a27ada9795ca86fdbfff22616c5077c0ba3.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/82244a27ada9795ca86fdbfff22616c5077c0ba3.webm,,,,,,,,,1.0
4,3,cats,A,not_at_all,Not at all,,d82fd2cd66ed38f98e416158f94ae240c8196f0e,streaming-static-trials/d82fd2cd66ed38f98e416158f94ae240c8196f0e.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d82fd2cd66ed38f98e416158f94ae240c8196f0e.webm,,,,,,,,,0.0
7,5,dogs,B,a_little,A little,,c56328364a5c4b7663ac61feadf6fd0a83c9632f,streaming-static-trials/c56328364a5c4b7663ac61feadf6fd0a83c9632f.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/c56328364a5c4b7663ac61feadf6fd0a83c9632f.webm,,,,,,,,,1.0
5,4,dogs,A,a_little,A little,,088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f,streaming-static-trials/088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f.webm,,,,,,,,,1.0
18,8,ponies,B,a_little,A little,,806387b2a212d891028ff82237573022ad3224ea,streaming-static-trials/806387b2a212d891028ff82237573022ad3224ea.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/806387b2a212d891028ff82237573022ad3224ea.webm,,,,,,,,,1.0
8,5,cats,B,not_at_all,Not at all,,8e3e373c40f0c0600650f7ff920c275f48bf68bd,streaming-static-trials/8e3e373c40f0c0600650f7ff920c275f48bf68bd.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8e3e373c40f0c0600650f7ff920c275f48bf68bd.webm,,,,,,,,,0.0
9,6,ponies,A,very_much,Very much,,fb66382f30145dce8e40af9c629e1e19475c0d1b,streaming-static-trials/fb66382f30145dce8e40af9c629e1e19475c0d1b.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/fb66382f30145dce8e40af9c629e1e19475c0d1b.webm,,,,,,,,,1.0
11,6,cats,B,very_much,Very much,,4948507d8bc17e75fcb9711a9c6cc3b64fcea09c,streaming-static-trials/4948507d8bc17e75fcb9711a9c6cc3b64fcea09c.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/4948507d8bc17e75fcb9711a9c6cc3b64fcea09c.webm,,,,,,,,,1.0
14,6,ponies,C,a_little,A little,,1b621c30173515f47690a757cd883842200f612d,streaming-static-trials/1b621c30173515f47690a757cd883842200f612d.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/1b621c30173515f47690a757cd883842200f612d.webm,,,,,,,,,1.0
12,6,dogs,B,a_little,A little,,35dc4098d4254d3971f2de565bcbaa5f15a5b4e8,streaming-static-trials/35dc4098d4254d3971f2de565bcbaa5f15a5b4e8.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/35dc4098d4254d3971f2de565bcbaa5f15a5b4e8.webm,,,,,,,,,1.0
