vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,can_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type,summarize_trials_used,summarize_trial_method,summarize_trials_output
"{""summarize_trials_used"": [1, 2], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 47.005700570057}",1,2026-06-15 10:10:20,False,,,TrialSource,1,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,9.0,,"{""vector"": [74, 113, 99], ""initial_index"": 1}","{""vector"": [74, 113, 99], ""initial_index"": 1, ""active_index"": 1}","{""target"": ""tree""}",A,default,False,2,CustomNode,Node,"[1, 2]",mean,47.005700570057
{},2,2026-06-15 10:10:20,False,,,TrialSource,2,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,,,"{""vector"": [198, 21, 62], ""initial_index"": 0}","{""vector"": [198, 21, 62], ""initial_index"": 0, ""active_index"": 0}","{""target"": ""tree""}",B,default,False,0,CustomNode,Node,,,
"{""summarize_trials_used"": [11, 4], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 26.5028502850285}",3,2026-06-15 10:10:20,False,,,TrialSource,3,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,12.0,,"{""vector"": [193, 102, 56], ""initial_index"": 1}","{""vector"": [193, 102, 56], ""initial_index"": 1, ""active_index"": 1}","{""target"": ""rock""}",A,default,False,2,CustomNode,Node,"[11, 4]",mean,26.5028502850285
{},4,2026-06-15 10:10:20,False,,,TrialSource,4,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,,,"{""vector"": [76, 156, 15], ""initial_index"": 2}","{""vector"": [76, 156, 15], ""initial_index"": 2, ""active_index"": 2}","{""target"": ""rock""}",B,default,False,0,CustomNode,Node,,,
"{""summarize_trials_used"": [3, 6], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 165.4986498649865}",5,2026-06-15 10:10:20,False,,,TrialSource,5,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,10.0,,"{""vector"": [63, 63, 209], ""initial_index"": 2}","{""vector"": [63, 63, 209], ""initial_index"": 2, ""active_index"": 2}","{""target"": ""carrot""}",A,default,False,2,CustomNode,Node,"[3, 6]",mean,165.4986498649865
{},6,2026-06-15 10:10:20,False,,,TrialSource,6,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,,,"{""vector"": [192, 126, 240], ""initial_index"": 2}","{""vector"": [192, 126, 240], ""initial_index"": 2, ""active_index"": 2}","{""target"": ""carrot""}",B,default,False,0,CustomNode,Node,,,
"{""summarize_trials_used"": [10, 5], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 210.5043504350435}",7,2026-06-15 10:10:20,False,,,TrialSource,7,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,11.0,,"{""vector"": [59, 141, 58], ""initial_index"": 2}","{""vector"": [59, 141, 58], ""initial_index"": 2, ""active_index"": 2}","{""target"": ""banana""}",A,default,False,2,CustomNode,Node,"[10, 5]",mean,210.5043504350435
{},8,2026-06-15 10:10:20,False,,,TrialSource,8,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,0,2,True,,,"{""vector"": [147, 36, 158], ""initial_index"": 2}","{""vector"": [147, 36, 158], ""initial_index"": 2, ""active_index"": 2}","{""target"": ""banana""}",B,default,False,0,CustomNode,Node,,,
{},9,2026-06-15 10:11:01,False,,,CustomNode,1,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,,1.0,"{""vector"": [74, 47.005700570057, 99], ""initial_index"": 1, ""active_index"": 1}","{""vector"": [74, 47.005700570057, 99], ""initial_index"": 1, ""active_index"": 2}","{""target"": ""tree""}",A,default,False,0,CustomNode,Node,,,
{},10,2026-06-15 10:11:02,False,,,CustomNode,5,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,,5.0,"{""vector"": [63, 63, 165.4986498649865], ""initial_index"": 2, ""active_index"": 2}","{""vector"": [63, 63, 165.4986498649865], ""initial_index"": 2, ""active_index"": 0}","{""target"": ""carrot""}",A,default,False,0,CustomNode,Node,,,
{},11,2026-06-15 10:11:02,False,,,CustomNode,7,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,,7.0,"{""vector"": [59, 141, 210.5043504350435], ""initial_index"": 2, ""active_index"": 2}","{""vector"": [59, 141, 210.5043504350435], ""initial_index"": 2, ""active_index"": 0}","{""target"": ""banana""}",A,default,False,0,CustomNode,Node,,,
{},12,2026-06-15 10:11:04,False,,,CustomNode,3,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,,3.0,"{""vector"": [193, 26.5028502850285, 56], ""initial_index"": 1, ""active_index"": 1}","{""vector"": [193, 26.5028502850285, 56], ""initial_index"": 1, ""active_index"": 2}","{""target"": ""rock""}",A,default,False,0,CustomNode,Node,,,
