parent,vars,id,creation_time,psynet_version,deployment_id,deposited,inherited,inherited_from,module_id,local_key,key_within_module,key_within_experiment,export_path,is_global,module_state_id,participant_id,trial_id,node_id,network_id,description,personal,content_id,host_path,url,is_folder,data_type,extension,storage,node_definition,type,input_path,obfuscate,md5_contents,size_mb,deposit_time_sec,class,object_type,file_system_path
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 1}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_1__async_post_trial__b7fb56c6-f768-4ff2-b54d-27dd78aa6c91.txt""}",1,2026-06-15 09:30:18,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_8__degree_0__node_8__trial_1__async_post_trial,gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_1__async_post_trial,gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_1__async_post_trial.txt,,,1,1,8,8,,False,b2f156e1d59977e29354ff46f82594a6,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_1__async_post_trial__b7fb56c6-f768-4ff2-b54d-27dd78aa6c91.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_1__async_post_trial__b7fb56c6-f768-4ff2-b54d-27dd78aa6c91.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmp00kkbnok,1,b2f156e1d59977e29354ff46f82594a6,3.62396240234375e-05,0.0044772250003006775,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_1__async_post_trial__b7fb56c6-f768-4ff2-b54d-27dd78aa6c91.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 2}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_2__async_post_trial__cf120e3e-5308-4d2b-80db-6e059b8114b0.txt""}",2,2026-06-15 09:30:18,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_4__degree_0__node_4__trial_2__async_post_trial,gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_2__async_post_trial,gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_2__async_post_trial.txt,,,1,2,4,4,,False,0364bde1d7a395b784500e1b8bae8b7f,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_2__async_post_trial__cf120e3e-5308-4d2b-80db-6e059b8114b0.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_2__async_post_trial__cf120e3e-5308-4d2b-80db-6e059b8114b0.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpews64yvy,1,0364bde1d7a395b784500e1b8bae8b7f,3.62396240234375e-05,0.002045162000285927,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_2__async_post_trial__cf120e3e-5308-4d2b-80db-6e059b8114b0.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 3}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_2__degree_0__node_2__trial_3__async_post_trial__8f6ed6d6-7b04-4a08-a404-9c2c95a547cf.txt""}",3,2026-06-15 09:30:18,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_2__degree_0__node_2__trial_3__async_post_trial,gibbs_demo/participants/participant_1/network_2__degree_0__node_2__trial_3__async_post_trial,gibbs_demo/participants/participant_1/network_2__degree_0__node_2__trial_3__async_post_trial.txt,,,1,3,2,2,,False,3ea02e66f2795b000bab68fd1ee6b821,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_2__degree_0__node_2__trial_3__async_post_trial__8f6ed6d6-7b04-4a08-a404-9c2c95a547cf.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_2__degree_0__node_2__trial_3__async_post_trial__8f6ed6d6-7b04-4a08-a404-9c2c95a547cf.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmplp8g4l3f,1,3ea02e66f2795b000bab68fd1ee6b821,3.62396240234375e-05,0.00202172200079076,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_2__degree_0__node_2__trial_3__async_post_trial__8f6ed6d6-7b04-4a08-a404-9c2c95a547cf.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 4}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_4__async_post_trial__7410c38a-2d8b-4669-8e12-df84cfc63221.txt""}",4,2026-06-15 09:30:18,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_6__degree_0__node_6__trial_4__async_post_trial,gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_4__async_post_trial,gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_4__async_post_trial.txt,,,1,4,6,6,,False,ff4d4261563f4f789011030dab04eb37,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_4__async_post_trial__7410c38a-2d8b-4669-8e12-df84cfc63221.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_4__async_post_trial__7410c38a-2d8b-4669-8e12-df84cfc63221.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpihwfkiwx,1,ff4d4261563f4f789011030dab04eb37,3.62396240234375e-05,0.0021805129981657956,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_4__async_post_trial__7410c38a-2d8b-4669-8e12-df84cfc63221.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 5}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_5__async_post_trial__f409389c-24ed-4ef5-a2d9-29dc6a4e1857.txt""}",5,2026-06-15 09:30:18,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_4__degree_0__node_4__trial_5__async_post_trial,gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_5__async_post_trial,gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_5__async_post_trial.txt,,,1,5,4,4,,False,5ff72bc915268784a24ae3ad6690d525,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_5__async_post_trial__f409389c-24ed-4ef5-a2d9-29dc6a4e1857.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_5__async_post_trial__f409389c-24ed-4ef5-a2d9-29dc6a4e1857.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpi1gmj637,1,5ff72bc915268784a24ae3ad6690d525,3.62396240234375e-05,0.002228617999207927,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_4__degree_0__node_4__trial_5__async_post_trial__f409389c-24ed-4ef5-a2d9-29dc6a4e1857.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 6}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_6__async_post_trial__77a4147c-471d-40fd-a028-f1147965f4d1.txt""}",6,2026-06-15 09:30:18,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_8__degree_0__node_8__trial_6__async_post_trial,gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_6__async_post_trial,gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_6__async_post_trial.txt,,,1,6,8,8,,False,8afbac4ff36317037df76d15fec9bb21,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_6__async_post_trial__77a4147c-471d-40fd-a028-f1147965f4d1.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_6__async_post_trial__77a4147c-471d-40fd-a028-f1147965f4d1.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmp1ujydg08,1,8afbac4ff36317037df76d15fec9bb21,3.62396240234375e-05,0.002721357002883451,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_8__degree_0__node_8__trial_6__async_post_trial__77a4147c-471d-40fd-a028-f1147965f4d1.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 7}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_7__async_post_trial__33895f49-1410-4124-af48-13ef3f82a6fb.txt""}",7,2026-06-15 09:30:18,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_1/network_6__degree_0__node_6__trial_7__async_post_trial,gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_7__async_post_trial,gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_7__async_post_trial.txt,,,1,7,6,6,,False,79643ded6292213beaed8c4c6d08db65,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_7__async_post_trial__33895f49-1410-4124-af48-13ef3f82a6fb.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_7__async_post_trial__33895f49-1410-4124-af48-13ef3f82a6fb.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmp4m_ofxyl,1,79643ded6292213beaed8c4c6d08db65,3.62396240234375e-05,0.0027346490023774095,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_1/network_6__degree_0__node_6__trial_7__async_post_trial__33895f49-1410-4124-af48-13ef3f82a6fb.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 8}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_8__async_post_trial__c5c32d3a-8210-47ac-844d-79a1107a1464.txt""}",8,2026-06-15 09:30:19,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_3__degree_0__node_3__trial_8__async_post_trial,gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_8__async_post_trial,gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_8__async_post_trial.txt,,,2,8,3,3,,False,11fe9321db178b64b4ba76abab56a30d,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_8__async_post_trial__c5c32d3a-8210-47ac-844d-79a1107a1464.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_8__async_post_trial__c5c32d3a-8210-47ac-844d-79a1107a1464.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmp0ek6jsxj,1,11fe9321db178b64b4ba76abab56a30d,3.62396240234375e-05,0.0019513129991537426,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_3__degree_0__node_3__trial_8__async_post_trial__c5c32d3a-8210-47ac-844d-79a1107a1464.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 9}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_9__async_post_trial__fd205d97-5bae-441c-94d9-a538d9b0cc0b.txt""}",9,2026-06-15 09:30:19,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_5__degree_0__node_5__trial_9__async_post_trial,gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_9__async_post_trial,gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_9__async_post_trial.txt,,,2,9,5,5,,False,48dee2a368e6be8f183802e2d77af927,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_9__async_post_trial__fd205d97-5bae-441c-94d9-a538d9b0cc0b.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_9__async_post_trial__fd205d97-5bae-441c-94d9-a538d9b0cc0b.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpcsm5oykl,1,48dee2a368e6be8f183802e2d77af927,3.62396240234375e-05,0.002375940999627346,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_5__degree_0__node_5__trial_9__async_post_trial__fd205d97-5bae-441c-94d9-a538d9b0cc0b.txt
"{""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 10}}","{""file_system_path"": ""/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_10__async_post_trial__27480c10-b1dd-44f9-8e14-153f1667a6f5.txt""}",10,2026-06-15 09:30:20,13.3.0a0,gibbs-demo__mode=debug__launch=2026-06-15--09-30-11,True,False,,gibbs_demo,async_post_trial,participants/participant_2/network_1__degree_0__node_1__trial_10__async_post_trial,gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_10__async_post_trial,gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_10__async_post_trial.txt,,,2,10,1,1,,False,756bf5bebe6116fdadc5361f25fac26c,experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_10__async_post_trial__27480c10-b1dd-44f9-8e14-153f1667a6f5.txt,/static/assets/experiments/gibbs-demo__mode%3Ddebug__launch%3D2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_10__async_post_trial__27480c10-b1dd-44f9-8e14-153f1667a6f5.txt,False,,.txt,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/home/ubuntu/psynet-data/assets""}",,ExperimentAsset,/tmp/tmpp01yu3_6,1,756bf5bebe6116fdadc5361f25fac26c,3.719329833984375e-05,0.0019880439976986963,ExperimentAsset,Asset,/home/ubuntu/psynet-data/assets/experiments/gibbs-demo__mode=debug__launch=2026-06-15--09-30-11/gibbs_demo/participants/participant_2/network_1__degree_0__node_1__trial_10__async_post_trial__27480c10-b1dd-44f9-8e14-153f1667a6f5.txt
