vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},1,2026-06-09 18:06:41,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.501, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:41.110Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:41.177Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:41.177Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:41.181Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:41.181Z"", ""info"": null}], ""comments"": [], ""wait_time"": 0.5}",Response,_Response
{},2,2026-06-09 18:06:41,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.501, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:41.136Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:41.191Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:41.191Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:41.195Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:41.195Z"", ""info"": null}], ""comments"": [], ""wait_time"": 0.5}",Response,_Response
{},3,2026-06-09 18:06:42,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.494, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:42.116Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:42.120Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:42.120Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:42.127Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:42.127Z"", ""info"": null}], ""comments"": [], ""wait_time"": 0.5}",Response,_Response
{},4,2026-06-09 18:06:42,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:42.141Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:42.151Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:42.151Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:42.155Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:42.155Z"", ""info"": null}], ""comments"": [], ""wait_time"": 0.5}",Response,_Response
{},5,2026-06-09 18:06:43,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.499, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:43.022Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:43.032Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:43.032Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:43.038Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:43.038Z"", ""info"": null}], ""comments"": [], ""wait_time"": 0.5}",Response,_Response
{},6,2026-06-09 18:06:43,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.484, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:43.065Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:43.067Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:43.067Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:43.071Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:43.071Z"", ""info"": null}], ""comments"": [], ""wait_time"": 0.5}",Response,_Response
{},7,2026-06-09 18:06:44,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.488, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:43.979Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:43.986Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:43.986Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:43.992Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:43.992Z"", ""info"": null}], ""comments"": [], ""wait_time"": 0.5}",Response,_Response
{},8,2026-06-09 18:06:44,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.503, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:43.992Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:44.016Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:44.017Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:44.021Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:44.021Z"", ""info"": null}], ""comments"": [], ""wait_time"": 0.5}",Response,_Response
{},9,2026-06-09 18:07:45,False,,,Response,2,deliberation,"{""room_id"":""rps_deliberation_group_1_node_1"",""duration_seconds"":60,""completed_by"":""timer""}",ModularPage,True,127.0.0.1,"{""time_taken"": 60.001, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:45.005Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:45.009Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:45.009Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:45.014Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:45.014Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {}}",Response,_Response
{},10,2026-06-09 18:07:45,False,,,Response,1,deliberation,"{""room_id"":""rps_deliberation_group_1_node_1"",""duration_seconds"":60,""completed_by"":""timer""}",ModularPage,True,127.0.0.1,"{""time_taken"": 59.995, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-09T18:06:45.018Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-09T18:06:45.020Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-09T18:06:45.020Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-09T18:06:45.026Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-09T18:06:45.026Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {}}",Response,_Response
