trial_db_id,participant_id,trial_id,item_type,pair_id,polarity,answer,score,time_taken,response_latency_ms,attention_correct,local_profile_label
1,P001,focus_positive,normal,focus_environment,positive,4,1.0,4.2,4200,,mock_human_like
2,P001,focus_reversed,normal,focus_environment,negative,2,1.0,5.1,5100,,mock_human_like
3,P001,planning_positive,normal,planning,positive,5,1.0,3.9,3900,,mock_human_like
4,P001,planning_repeat,normal,planning,positive,4,1.0,4.7,4700,,mock_human_like
5,P001,attention_check,attention_check,,check,2,1.0,3.6,3600,True,mock_human_like
6,P001,breaks_positive,normal,breaks,positive,4,1.0,4.5,4500,,mock_human_like
7,P002,focus_positive,normal,focus_environment,positive,3,1.0,0.21,210,,mock_fast_uniform
8,P002,focus_reversed,normal,focus_environment,negative,3,1.0,0.23,230,,mock_fast_uniform
9,P002,planning_positive,normal,planning,positive,3,1.0,0.205,205,,mock_fast_uniform
10,P002,planning_repeat,normal,planning,positive,3,1.0,0.215,215,,mock_fast_uniform
11,P002,attention_check,attention_check,,check,3,0.0,0.225,225,False,mock_fast_uniform
12,P002,breaks_positive,normal,breaks,positive,3,1.0,0.22,220,,mock_fast_uniform
13,P003,focus_positive,normal,focus_environment,positive,4,1.0,3.4,3400,,mock_attention_fail
14,P003,focus_reversed,normal,focus_environment,negative,2,1.0,3.6,3600,,mock_attention_fail
15,P003,planning_positive,normal,planning,positive,4,1.0,3.15,3150,,mock_attention_fail
16,P003,planning_repeat,normal,planning,positive,5,1.0,4.1,4100,,mock_attention_fail
17,P003,attention_check,attention_check,,check,5,0.0,3.0,3000,False,mock_attention_fail
18,P003,breaks_positive,normal,breaks,positive,4,1.0,3.9,3900,,mock_attention_fail
19,P004,focus_positive,normal,focus_environment,positive,5,1.0,2.8,2800,,mock_inconsistent_pair
20,P004,focus_reversed,normal,focus_environment,negative,5,1.0,2.95,2950,,mock_inconsistent_pair
21,P004,planning_positive,normal,planning,positive,1,1.0,3.1,3100,,mock_inconsistent_pair
22,P004,planning_repeat,normal,planning,positive,5,1.0,3.0,3000,,mock_inconsistent_pair
23,P004,attention_check,attention_check,,check,2,1.0,3.3,3300,True,mock_inconsistent_pair
24,P004,breaks_positive,normal,breaks,positive,4,1.0,3.4,3400,,mock_inconsistent_pair
25,P005,focus_positive,normal,focus_environment,positive,4,1.0,,,,mock_missing_telemetry
26,P005,focus_reversed,normal,focus_environment,negative,2,1.0,,,,mock_missing_telemetry
27,P005,planning_positive,normal,planning,positive,4,1.0,,,,mock_missing_telemetry
28,P005,planning_repeat,normal,planning,positive,4,1.0,,,,mock_missing_telemetry
29,P005,attention_check,attention_check,,check,2,1.0,,,True,mock_missing_telemetry
30,P005,breaks_positive,normal,breaks,positive,4,1.0,,,,mock_missing_telemetry
