_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,initial_vector,initial_index,active_index,reverse_scale,updated_vector,async_post_trial_completed,vector
{},"{""async_post_trial_completed"": true}",1,2026-06-15 10:10:59,False,,,CustomTrial,1,1,,True,1,1,1,gibbs_demo,"{""vector"": [74, 94, 99], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": true}",True,False,,0.0,14.0,64.011401140114,False,6,,,0.647,5.0,10.0,5.0,0.08333333333333333,0.16666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[74, 94, 99]",1,1,True,"[74, 64.011401140114, 99]",True,"[74, 94, 99]"
{},"{""async_post_trial_completed"": true}",2,2026-06-15 10:10:59,False,,,CustomTrial,1,1,,True,1,2,2,gibbs_demo,"{""vector"": [74, 159, 99], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,8.0,30.0,False,3,,,5.0,5.0,10.0,5.0,0.08333333333333333,0.16666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[74, 159, 99]",1,1,False,"[74, 30, 99]",True,"[74, 159, 99]"
{},"{""async_post_trial_completed"": true}",3,2026-06-15 10:10:59,False,,,CustomTrial,5,5,,True,5,2,2,gibbs_demo,"{""vector"": [63, 63, 67], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,False,,0.0,,203.0,False,4,,,5.0,10.0,15.0,5.0,0.16666666666666666,0.25,True,True,True,False,0,default,CustomTrial,Info,"[63, 63, 67]",2,2,True,"[63, 63, 203]",True,"[63, 63, 67]"
{},"{""async_post_trial_completed"": true}",4,2026-06-15 10:10:59,False,,,CustomTrial,3,3,,True,3,2,2,gibbs_demo,"{""vector"": [193, 57, 56], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": true}",True,False,,0.0,7.0,21.0,False,5,,,5.0,15.0,20.0,5.0,0.25,0.3333333333333333,True,True,True,False,0,default,CustomTrial,Info,"[193, 57, 56]",1,1,True,"[193, 21, 56]",True,"[193, 57, 56]"
{},"{""async_post_trial_completed"": true}",5,2026-06-15 10:11:00,False,,,CustomTrial,7,7,,True,7,2,2,gibbs_demo,"{""vector"": [59, 141, 198], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,False,,0.0,9.0,229.0,False,7,,,5.0,20.0,25.0,5.0,0.3333333333333333,0.41666666666666663,True,True,True,False,0,default,CustomTrial,Info,"[59, 141, 198]",2,2,True,"[59, 141, 229]",True,"[59, 141, 198]"
{},"{""async_post_trial_completed"": true}",6,2026-06-15 10:11:00,False,,,CustomTrial,5,5,,True,5,1,1,gibbs_demo,"{""vector"": [63, 63, 31], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,False,,0.0,13.0,127.997299729973,False,10,,,0.229,10.0,15.0,5.0,0.16666666666666666,0.25,True,True,True,False,0,default,CustomTrial,Info,"[63, 63, 31]",2,2,True,"[63, 63, 127.997299729973]",True,"[63, 63, 31]"
,"{""async_post_trial_completed"": true}",7,2026-06-15 10:11:00,False,,,CustomTrial,3,3,,True,3,2,2,gibbs_demo,"{""vector"": [193, 57, 56], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": true}",True,True,,0.0,,21.0,False,8,0.0,3.0,5.0,25.0,30.0,5.0,0.41666666666666663,0.49999999999999994,True,True,True,False,0,default,CustomTrial,Info,"[193, 57, 56]",1,1,True,"[193, 21, 56]",True,"[193, 57, 56]"
,"{""async_post_trial_completed"": true}",8,2026-06-15 10:11:00,False,,,CustomTrial,1,1,,True,1,2,2,gibbs_demo,"{""vector"": [74, 159, 99], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,True,,0.0,,30.0,False,9,1.0,3.0,5.0,30.0,35.0,5.0,0.49999999999999994,0.5833333333333333,True,True,True,False,0,default,CustomTrial,Info,"[74, 159, 99]",1,1,False,"[74, 30, 99]",True,"[74, 159, 99]"
,"{""async_post_trial_completed"": true}",9,2026-06-15 10:11:00,False,,,CustomTrial,7,7,,True,7,2,2,gibbs_demo,"{""vector"": [59, 141, 198], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,True,,0.0,,229.0,False,11,2.0,3.0,5.0,35.0,40.0,5.0,0.5833333333333333,0.6666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[59, 141, 198]",2,2,True,"[59, 141, 229]",True,"[59, 141, 198]"
{},"{""async_post_trial_completed"": true}",10,2026-06-15 10:11:00,False,,,CustomTrial,7,7,,True,7,1,1,gibbs_demo,"{""vector"": [59, 141, 115], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,False,,0.0,,192.008700870087,False,15,,,0.274,15.0,20.0,5.0,0.25,0.3333333333333333,True,True,True,False,0,default,CustomTrial,Info,"[59, 141, 115]",2,2,True,"[59, 141, 192.008700870087]",True,"[59, 141, 115]"
