stimulus_id,family,inversion,timbre,brightness,high_energy_ratio,spectral_flux,log_attack_time,roughness,irregularity,mean_midi_note,n_notes
major_triad__root__piano,major_triad,root,piano,666.21362,0.190507,19.847322,-1.827535,0.239014,0.372727,63.666667,3
major_triad__root__strings,major_triad,root,strings,963.415259,0.392641,79.823059,-0.753682,0.349231,0.259091,63.666667,3
major_triad__first__piano,major_triad,first,piano,849.029765,0.318511,17.620554,-1.81193,0.184492,0.372727,67.666667,3
major_triad__first__strings,major_triad,first,strings,1232.705973,0.52231,84.513588,-0.754801,0.302215,0.259091,67.666667,3
major_triad__second__piano,major_triad,second,piano,1076.999088,0.447239,12.080902,-1.823581,0.089639,0.372727,71.666667,3
major_triad__second__strings,major_triad,second,strings,1550.239321,0.629783,84.325768,-0.73649,0.175087,0.259091,71.666667,3
minor_triad__root__piano,minor_triad,root,piano,656.543338,0.187608,14.732143,-1.634988,0.249412,0.372727,63.333333,3
minor_triad__root__strings,minor_triad,root,strings,940.262529,0.373928,83.156662,-0.792691,0.365575,0.259091,63.333333,3
minor_triad__first__piano,minor_triad,first,piano,835.119378,0.311281,13.925591,-1.636691,0.147498,0.372727,67.333333,3
minor_triad__first__strings,minor_triad,first,strings,1222.432876,0.512466,88.674759,-0.793915,0.258599,0.259091,67.333333,3
minor_triad__second__piano,minor_triad,second,piano,1058.381858,0.450708,10.904993,-1.517982,0.124033,0.372727,71.333333,3
minor_triad__second__strings,minor_triad,second,strings,1489.688365,0.619003,87.690773,-0.548642,0.219764,0.259091,71.333333,3
diminished_triad__root__piano,diminished_triad,root,piano,647.741182,0.191185,20.122694,-1.730625,0.335541,0.372727,63.0,3
diminished_triad__root__strings,diminished_triad,root,strings,921.445131,0.371445,80.076904,-0.693393,0.509976,0.259091,63.0,3
augmented_triad__root__piano,augmented_triad,root,piano,685.605113,0.190964,20.946211,-1.344278,0.222674,0.372727,64.0,3
augmented_triad__root__strings,augmented_triad,root,strings,1000.209325,0.40662,81.008781,-0.755137,0.392501,0.259091,64.0,3
dominant_seventh__root__piano,dominant_seventh,root,piano,739.700488,0.213149,20.49505,-1.830191,0.461693,0.382667,65.25,4
dominant_seventh__root__strings,dominant_seventh,root,strings,1079.071832,0.444446,72.048965,-0.754801,0.738322,0.266,65.25,4
dominant_seventh__third__piano,dominant_seventh,third,piano,624.00088,0.160004,22.218674,-1.512179,0.609042,0.382667,62.25,4
dominant_seventh__third__strings,dominant_seventh,third,strings,908.587431,0.356821,67.421257,-0.753682,0.959174,0.266,62.25,4
minor_seventh__root__piano,minor_seventh,root,piano,729.352149,0.211627,19.064945,-1.411951,0.439641,0.382667,65.0,4
minor_seventh__root__strings,minor_seventh,root,strings,1062.615171,0.434305,80.198601,-0.792447,0.656731,0.266,65.0,4
minor_seventh__third__piano,minor_seventh,third,piano,614.292173,0.157534,18.976091,-1.596774,0.620726,0.382667,62.0,4
minor_seventh__third__strings,minor_seventh,third,strings,890.065028,0.343218,85.042824,-0.792569,0.92326,0.266,62.0,4
major_seventh__root__piano,major_seventh,root,piano,753.55825,0.225532,18.184763,-1.521895,0.423602,0.382667,65.5,4
major_seventh__root__strings,major_seventh,root,strings,1116.659263,0.460511,75.103989,-0.753571,0.678827,0.266,65.5,4
major_seventh__third__piano,major_seventh,third,piano,636.85963,0.168771,32.316586,-1.827535,0.61522,0.382667,62.5,4
major_seventh__third__strings,major_seventh,third,strings,910.172425,0.356428,80.130447,-0.686544,0.974356,0.266,62.5,4
