vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,metadata_,class,object_type
{},1,2026-06-14 14:31:15,False,,,Response,1,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 8}",Response,_Response
{},2,2026-06-14 14:31:15,False,,,Response,1,animal_trial_streaming_video,not_at_all,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},3,2026-06-14 14:31:15,False,,,Response,1,UnsuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},4,2026-06-14 14:31:16,False,,,Response,2,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 8}",Response,_Response
{},5,2026-06-14 14:31:16,False,,,Response,2,animal_trial_streaming_video,very_much,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},6,2026-06-14 14:31:16,False,,,Response,2,animal_trial_streaming_video,not_at_all,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},7,2026-06-14 14:31:16,False,,,Response,2,UnsuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},8,2026-06-14 14:31:16,False,,,Response,3,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 8}",Response,_Response
{},9,2026-06-14 14:31:16,False,,,Response,3,animal_trial_streaming_video,not_at_all,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},10,2026-06-14 14:31:17,False,,,Response,3,UnsuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},11,2026-06-14 14:31:17,False,,,Response,4,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 8}",Response,_Response
{},12,2026-06-14 14:31:17,False,,,Response,4,animal_trial_streaming_video,a_little,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},13,2026-06-14 14:31:17,False,,,Response,4,animal_trial_streaming_video,not_at_all,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},14,2026-06-14 14:31:17,False,,,Response,4,UnsuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},15,2026-06-14 14:31:17,False,,,Response,5,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 8}",Response,_Response
{},16,2026-06-14 14:31:17,False,,,Response,5,animal_trial_streaming_video,a_little,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},17,2026-06-14 14:31:18,False,,,Response,5,animal_trial_streaming_video,not_at_all,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},18,2026-06-14 14:31:18,False,,,Response,5,UnsuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},19,2026-06-14 14:31:18,False,,,Response,6,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 8}",Response,_Response
{},20,2026-06-14 14:31:18,False,,,Response,6,animal_trial_streaming_video,very_much,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},21,2026-06-14 14:31:18,False,,,Response,6,animal_trial_streaming_video,a_little,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},22,2026-06-14 14:31:18,False,,,Response,6,animal_trial_streaming_video,very_much,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},23,2026-06-14 14:31:19,False,,,Response,6,animal_trial_streaming_video,a_little,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},24,2026-06-14 14:31:19,False,,,Response,6,animal_trial_streaming_video,a_little,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
{},25,2026-06-14 14:31:19,False,,,Response,6,animal_trial_streaming_video,a_little,StreamingVideoModularPage,True,"{""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true, ""time_taken"": 6, ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""not_at_all"", ""a_little"", ""very_much""], ""labels"": [""Not at all"", ""A little"", ""Very much""], ""force_selection"": true}}",Response,_Response
