vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,metadata_,class,object_type
{},1,2026-06-15 09:30:16,False,,,Response,1,choose_network,B,ModularPage,True,"{""time_taken"": 5, ""prompt"": {}, ""control"": {""choices"": [""A"", ""B""], ""labels"": {""py/id"": 3}}}",Response,_Response
{},2,2026-06-15 09:30:16,False,,,Response,1,color_trial,105,ColorSliderPage,True,"{""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 1, ""active_channel"": ""green"", ""starting_values"": [25, 129, 33]}",Response,_Response
{},3,2026-06-15 09:30:16,False,,,Response,1,color_trial,168,ColorSliderPage,True,"{""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 2, ""active_channel"": ""blue"", ""starting_values"": [216, 122, 161]}",Response,_Response
{},4,2026-06-15 09:30:16,False,,,Response,1,color_trial,168,ColorSliderPage,True,"{""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 2, ""active_channel"": ""blue"", ""starting_values"": [115, 76, 200]}",Response,_Response
{},5,2026-06-15 09:30:17,False,,,Response,1,color_trial,214,ColorSliderPage,True,"{""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 2, ""active_channel"": ""blue"", ""starting_values"": [233, 143, 199]}",Response,_Response
{},6,2026-06-15 09:30:17,False,,,Response,1,color_trial,153,ColorSliderPage,True,"{""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 2, ""active_channel"": ""blue"", ""starting_values"": [216, 122, 161]}",Response,_Response
{},7,2026-06-15 09:30:17,False,,,Response,1,color_trial,143,ColorSliderPage,True,"{""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 1, ""active_channel"": ""green"", ""starting_values"": [25, 129, 33]}",Response,_Response
{},8,2026-06-15 09:30:17,False,,,Response,1,color_trial,218,ColorSliderPage,True,"{""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 2, ""active_channel"": ""blue"", ""starting_values"": [233, 143, 199]}",Response,_Response
{},9,2026-06-15 09:30:17,False,,,Response,1,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},10,2026-06-15 09:30:17,False,,,Response,1,liked_experiment,I'm a bot so I don't really have feelings...,LikedExperiment,True,"{""time_taken"": 5, ""prompt"": {}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}",Response,_Response
