vars,id,creation_time,failed,failed_reason,time_of_death,barrier_id,participant_id,arrival_time,departure_time,released,type,class,object_type
{},1,2026-06-30 15:20:11,False,,,pd_dyad_grouper,1,2026-06-30 15:20:11,2026-06-30 15:20:11,True,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},2,2026-06-30 15:20:11,False,,,pd_dyad_grouper,2,2026-06-30 15:20:11,2026-06-30 15:20:11,True,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},3,2026-06-30 15:20:11,False,,,init_participant,1,2026-06-30 15:20:11,2026-06-30 15:20:12,True,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},4,2026-06-30 15:20:12,False,,,init_participant,2,2026-06-30 15:20:11,2026-06-30 15:20:12,True,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},5,2026-06-30 15:20:12,False,,,prepare_trial,2,2026-06-30 15:20:12,2026-06-30 15:20:12,True,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},6,2026-06-30 15:20:12,False,,,prepare_trial,1,2026-06-30 15:20:12,2026-06-30 15:20:12,True,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},7,2026-06-30 15:20:12,False,,,sequence_start,1,2026-06-30 15:20:12,2026-06-30 15:20:13,True,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},8,2026-06-30 15:20:13,False,,,sequence_start,2,2026-06-30 15:20:13,2026-06-30 15:20:13,True,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},9,2026-06-30 15:20:14,False,,,prepare_trial,1,2026-06-30 15:20:14,,False,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
{},10,2026-06-30 15:20:14,False,,,prepare_trial,2,2026-06-30 15:20:14,,False,ParticipantLinkBarrier,ParticipantLinkBarrier,ParticipantLinkBarrier
