vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},1,2026-06-30 15:20:11,False,,,Response,1,info,,InfoPage,True,127.0.0.1,"{""prompt"": {}, ""control"": {}, ""time_taken"": 20}",Response,_Response
{},2,2026-06-30 15:20:11,False,,,Response,2,info,,InfoPage,True,127.0.0.1,"{""prompt"": {}, ""control"": {}, ""time_taken"": 20}",Response,_Response
{},3,2026-06-30 15:20:11,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 2.5, ""wait_time"": 2.5}",Response,_Response
{},4,2026-06-30 15:20:11,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 2.5, ""wait_time"": 2.5}",Response,_Response
{},5,2026-06-30 15:20:11,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 2.5, ""wait_time"": 2.5}",Response,_Response
{},6,2026-06-30 15:20:11,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 2.5, ""wait_time"": 2.5}",Response,_Response
{},7,2026-06-30 15:20:12,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
{},8,2026-06-30 15:20:12,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
{},9,2026-06-30 15:20:12,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
{},10,2026-06-30 15:20:12,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
{},11,2026-06-30 15:20:12,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
{},12,2026-06-30 15:20:12,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
{},13,2026-06-30 15:20:13,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
{},14,2026-06-30 15:20:13,False,,,Response,2,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
{},15,2026-06-30 15:20:13,False,,,Response,1,wait,,WaitPage,True,127.0.0.1,"{""time_taken"": 0.5, ""wait_time"": 0.5}",Response,_Response
