action_id,action_type,chain_id,condition,generation_id,id,immediate_score,item_hold,item_stand,item_yield,total_score,trial_index_within_generation
act-1,combine,0,easy,0,1,0,circle_checkered_0,circle_dots_0,circle_dots_1,0,1
act-2,harvest,0,easy,0,1,10,circle_dots_1,,,10,1
act-3,combine,0,easy,0,1,0,circle_plain_0,circle_stripes_0,circle_stripes_1,10,1
act-4,harvest,0,easy,0,1,10,circle_stripes_1,,,20,1
act-1,combine,0,easy,0,2,0,circle_checkered_0,circle_dots_0,circle_dots_1,0,2
act-2,harvest,0,easy,0,2,10,circle_dots_1,,,10,2
act-3,combine,0,easy,0,2,0,circle_plain_0,circle_stripes_0,circle_stripes_1,10,2
act-4,harvest,0,easy,0,2,10,circle_stripes_1,,,20,2
act-1,combine,0,easy,1,3,0,circle_checkered_0,circle_dots_0,circle_dots_1,0,1
act-2,harvest,0,easy,1,3,10,circle_dots_1,,,10,1
act-3,combine,0,easy,1,3,0,circle_plain_0,circle_stripes_0,circle_stripes_1,10,1
act-4,harvest,0,easy,1,3,10,circle_stripes_1,,,20,1
act-1,combine,0,easy,1,4,0,circle_checkered_0,circle_dots_0,circle_dots_1,0,2
act-2,harvest,0,easy,1,4,10,circle_dots_1,,,10,2
act-3,combine,0,easy,1,4,0,circle_plain_0,circle_stripes_0,circle_stripes_1,10,2
act-4,harvest,0,easy,1,4,10,circle_stripes_1,,,20,2
act-1,combine,0,easy,2,5,0,circle_checkered_0,circle_dots_0,circle_dots_1,0,1
act-2,harvest,0,easy,2,5,10,circle_dots_1,,,10,1
act-3,combine,0,easy,2,5,0,circle_plain_0,circle_stripes_0,circle_stripes_1,10,1
act-4,harvest,0,easy,2,5,10,circle_stripes_1,,,20,1
act-1,combine,0,easy,2,6,0,circle_checkered_0,circle_dots_0,circle_dots_1,0,2
act-2,harvest,0,easy,2,6,10,circle_dots_1,,,10,2
act-3,combine,0,easy,2,6,0,circle_plain_0,circle_stripes_0,circle_stripes_1,10,2
act-4,harvest,0,easy,2,6,10,circle_stripes_1,,,20,2
