chain_id,condition,event_content,event_id,event_type,generation_id,id,trial_index_within_generation
0,easy,"{""action"": ""moveLeft"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": """", ""event_id"": ""event-1"", ""x"": 6, ""y"": 7}",event-1,moveLeft,0,1,1
0,easy,"{""action"": ""moveLeft"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": """", ""event_id"": ""event-2"", ""x"": 5, ""y"": 7}",event-2,moveLeft,0,1,1
0,easy,"{""action"": ""moveDown"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": """", ""event_id"": ""event-3"", ""x"": 5, ""y"": 8}",event-3,moveDown,0,1,1
0,easy,"{""action"": ""pickUp"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-4"", ""x"": 5, ""y"": 8}",event-4,pickUp,0,1,1
0,easy,"{""action"": ""moveLeft"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-5"", ""x"": 4, ""y"": 8}",event-5,moveLeft,0,1,1
0,easy,"{""action"": ""moveLeft"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-6"", ""x"": 3, ""y"": 8}",event-6,moveLeft,0,1,1
0,easy,"{""action"": ""moveLeft"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-7"", ""x"": 2, ""y"": 8}",event-7,moveLeft,0,1,1
0,easy,"{""action"": ""moveDown"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-8"", ""x"": 2, ""y"": 9}",event-8,moveDown,0,1,1
0,easy,"{""action"": ""moveDown"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-9"", ""x"": 2, ""y"": 10}",event-9,moveDown,0,1,1
0,easy,"{""action"": ""moveDown"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-10"", ""x"": 2, ""y"": 11}",event-10,moveDown,0,1,1
0,easy,"{""action"": ""moveDown"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-11"", ""x"": 2, ""y"": 12}",event-11,moveDown,0,1,1
0,easy,"{""action"": ""moveDown"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-12"", ""x"": 2, ""y"": 13}",event-12,moveDown,0,1,1
0,easy,"{""action"": ""moveDown"", ""actions_left"": 40, ""current_points"": 0, ""currently_carrying"": ""circle_checkered_0"", ""event_id"": ""event-13"", ""x"": 2, ""y"": 14}",event-13,moveDown,0,1,1
0,easy,"{""action"": ""combine"", ""actions_left"": 39, ""current_points"": 0, ""currently_carrying"": ""circle_dots_1"", ""event_id"": ""event-14"", ""x"": 2, ""y"": 14}",event-14,combine,0,1,1
0,easy,"{""action"": ""consume"", ""actions_left"": 38, ""current_points"": 10, ""currently_carrying"": """", ""event_id"": ""event-15"", ""x"": 2, ""y"": 14}",event-15,consume,0,1,1
