vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},1,2026-06-11 10:09:09,False,,,Response,1,choose_network,A,ModularPage,True,127.0.0.1,"{""time_taken"": 8.212, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:09:01.141Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:09:01.224Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:09:01.224Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:09:01.228Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:09:01.228Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2026-06-11T10:09:09.327Z"", ""info"": {""buttonId"": ""A""}}], ""comments"": [], ""prompt"": {}, ""control"": {""choices"": [""A"", ""B""], ""labels"": {""py/id"": 12}}}",Response,_Response
{},2,2026-06-11 10:09:25,False,,,Response,1,color_trial,148.858385838584,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 15.345, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:09:09.770Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:09:09.776Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:09:09.777Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:09:09.778Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:09:09.778Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:09:09.782Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-11T10:09:09.782Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:09:09.791Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-11T10:09:17.497Z"", ""info"": {""outputValue"": ""148.858385838584""}}], ""rawValue"": 148.858385838584, ""outputValue"": 148.858385838584, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [133, 211, 243], ""stimulus"": {""target"": ""banana"", ""participant_group"": ""A"", ""active_color"": ""blue"", ""active_index"": 2, ""rgb"": {""red"": 133, ""green"": 211, ""blue"": 243}}}",Response,_Response
{},3,2026-06-11 10:09:57,False,,,Response,1,color_trial,136.642664266427,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 31.985, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:09:25.487Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:09:25.489Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:09:25.491Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:09:25.491Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:09:25.491Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:09:25.495Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-11T10:09:25.496Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:09:25.504Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-11T10:09:50.108Z"", ""info"": {""outputValue"": ""136.642664266427""}}], ""rawValue"": 136.642664266427, ""outputValue"": 136.642664266427, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [105, 196, 110], ""stimulus"": {""target"": ""rock"", ""participant_group"": ""A"", ""active_color"": ""green"", ""active_index"": 1, ""rgb"": {""red"": 105, ""green"": 196, ""blue"": 110}}}",Response,_Response
{},4,2026-06-11 10:10:12,False,,,Response,1,color_trial,90.8655865586559,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 14.615, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:09:57.779Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:09:57.781Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:09:57.781Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:09:57.781Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:09:57.781Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:09:57.786Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-11T10:09:57.786Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:09:57.794Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-11T10:10:04.805Z"", ""info"": {""outputValue"": ""90.8655865586559""}}], ""rawValue"": 90.8655865586559, ""outputValue"": 90.8655865586559, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 0, ""starting_values"": [195, 99, 184], ""stimulus"": {""target"": ""tree"", ""participant_group"": ""A"", ""active_color"": ""red"", ""active_index"": 0, ""rgb"": {""red"": 195, ""green"": 99, ""blue"": 184}}}",Response,_Response
{},5,2026-06-11 10:10:26,False,,,Response,1,color_trial,194.635463546355,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 14.262, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:10:12.674Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:10:12.675Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:10:12.675Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:10:12.675Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:10:12.675Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:10:12.680Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-11T10:10:12.680Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:10:12.688Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-11T10:10:19.584Z"", ""info"": {""outputValue"": ""194.635463546355""}}], ""rawValue"": 194.635463546355, ""outputValue"": 194.635463546355, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [64, 97, 123], ""stimulus"": {""target"": ""carrot"", ""participant_group"": ""A"", ""active_color"": ""blue"", ""active_index"": 2, ""rgb"": {""red"": 64, ""green"": 97, ""blue"": 123}}}",Response,_Response
{},6,2026-06-11 10:10:41,False,,,Response,1,color_trial,151.893189318932,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 14.479, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:10:27.225Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:10:27.227Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:10:27.227Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:10:27.227Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:10:27.227Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:10:27.231Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-11T10:10:27.231Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:10:27.240Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-11T10:10:33.814Z"", ""info"": {""outputValue"": ""151.893189318932""}}], ""rawValue"": 151.893189318932, ""outputValue"": 151.893189318932, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [105, 196, 110], ""stimulus"": {""target"": ""rock"", ""participant_group"": ""A"", ""active_color"": ""green"", ""active_index"": 1, ""rgb"": {""red"": 105, ""green"": 196, ""blue"": 110}}}",Response,_Response
{},7,2026-06-11 10:10:57,False,,,Response,1,color_trial,209.88598859886,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 15.67, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:10:41.987Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:10:41.988Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:10:41.988Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:10:41.988Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:10:41.988Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:10:41.992Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-11T10:10:41.992Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:10:42.001Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-11T10:10:49.380Z"", ""info"": {""outputValue"": ""209.88598859886""}}], ""rawValue"": 209.88598859886, ""outputValue"": 209.88598859886, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [64, 97, 123], ""stimulus"": {""target"": ""carrot"", ""participant_group"": ""A"", ""active_color"": ""blue"", ""active_index"": 2, ""rgb"": {""red"": 64, ""green"": 97, ""blue"": 123}}}",Response,_Response
{},8,2026-06-11 10:11:14,False,,,Response,1,color_trial,133.607860786079,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 16.512, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:10:57.946Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:10:57.947Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:10:57.947Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-11T10:10:57.948Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:10:57.948Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:10:57.952Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-11T10:10:57.952Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:10:57.960Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-11T10:11:05.804Z"", ""info"": {""outputValue"": ""133.607860786079""}}], ""rawValue"": 133.607860786079, ""outputValue"": 133.607860786079, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [133, 211, 243], ""stimulus"": {""target"": ""banana"", ""participant_group"": ""A"", ""active_color"": ""blue"", ""active_index"": 2, ""rgb"": {""red"": 133, ""green"": 211, ""blue"": 243}}}",Response,_Response
{},9,2026-06-11 10:11:41,False,,,Response,1,info,,InfoPage,True,127.0.0.1,"{""time_taken"": 27.03, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:11:14.732Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:11:14.734Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:11:14.734Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:11:14.739Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:11:14.739Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {}}",Response,_Response
{},10,2026-06-11 10:12:05,False,,,Response,1,liked_experiment,Yes,LikedExperiment,True,127.0.0.1,"{""time_taken"": 23.147, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-11T10:11:42.017Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-11T10:11:42.019Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-11T10:11:42.019Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-11T10:11:42.023Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-11T10:11:42.024Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}",Response,_Response
