participant_id,trial_id,stimulus_id,audio_path,condition,excerpt_type,intended_affect,sample_index,elapsed_time_ms,elapsed_time_sec,dimension,rating_value,sample_source,browser_local_time
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,0,0,0.0,valence,0.41,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,1,0,0.0,arousal,0.235,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,2,250,0.25,valence,0.414,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,3,250,0.25,arousal,0.244,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,4,500,0.5,valence,0.418,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,5,500,0.5,arousal,0.254,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,6,750,0.75,valence,0.423,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,7,750,0.75,arousal,0.263,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,8,1000,1.0,valence,0.427,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,9,1000,1.0,arousal,0.273,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,10,1250,1.25,valence,0.431,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,11,1250,1.25,arousal,0.282,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,12,1500,1.5,valence,0.435,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,13,1500,1.5,arousal,0.291,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,14,1750,1.75,valence,0.439,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,15,1750,1.75,arousal,0.301,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,16,2000,2.0,valence,0.443,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,17,2000,2.0,arousal,0.31,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,18,2250,2.25,valence,0.448,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,19,2250,2.25,arousal,0.319,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,20,2500,2.5,valence,0.452,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,21,2500,2.5,arousal,0.329,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,22,2750,2.75,valence,0.456,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,23,2750,2.75,arousal,0.338,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,24,3000,3.0,valence,0.46,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,25,3000,3.0,arousal,0.348,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,26,3250,3.25,valence,0.464,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,27,3250,3.25,arousal,0.357,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,28,3500,3.5,valence,0.468,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,29,3500,3.5,arousal,0.366,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,30,3750,3.75,valence,0.473,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,31,3750,3.75,arousal,0.376,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,32,4000,4.0,valence,0.477,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,33,4000,4.0,arousal,0.385,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,34,4250,4.25,valence,0.481,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,35,4250,4.25,arousal,0.394,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,36,4500,4.5,valence,0.485,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,37,4500,4.5,arousal,0.404,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,38,4750,4.75,valence,0.489,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,39,4750,4.75,arousal,0.413,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,40,5000,5.0,valence,0.493,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,41,5000,5.0,arousal,0.423,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,42,5250,5.25,valence,0.498,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,43,5250,5.25,arousal,0.432,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,44,5500,5.5,valence,0.502,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,45,5500,5.5,arousal,0.441,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,46,5750,5.75,valence,0.506,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,47,5750,5.75,arousal,0.451,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,48,6000,6.0,valence,0.51,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,49,6000,6.0,arousal,0.46,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,50,6250,6.25,valence,0.514,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,51,6250,6.25,arousal,0.469,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,52,6500,6.5,valence,0.518,simulated_psynet_bot_interval,
1,1,warm_major,static/stimuli/warm_major.wav,generated,major_chord_pulse,positive_energetic,53,6500,6.5,arousal,0.479,simulated_psynet_bot_interval,
