vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-06-15 20:41:20,False,,,1,everyday_predictions,1,2026-06-15 20:41:20,2026-06-15 20:41:21,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""waiting_times"", ""marriages"", ""poem_lengths"", ""life_spans"", ""movie_run_times""]",4,movie_run_times,"[23, 8, 16, 2, 13]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:21,False,,,2,everyday_predictions,2,2026-06-15 20:41:21,2026-06-15 20:41:22,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""movie_run_times"", ""waiting_times"", ""marriages"", ""poem_lengths""]",4,poem_lengths,"[4, 12, 24, 7, 19]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:22,False,,,3,everyday_predictions,3,2026-06-15 20:41:22,2026-06-15 20:41:23,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""marriages"", ""poem_lengths"", ""life_spans"", ""waiting_times""]",4,waiting_times,"[11, 10, 18, 1, 22]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:23,False,,,4,everyday_predictions,4,2026-06-15 20:41:23,2026-06-15 20:41:24,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""life_spans"", ""marriages"", ""waiting_times"", ""movie_run_times""]",4,movie_run_times,"[17, 5, 6, 25, 15]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:25,False,,,5,everyday_predictions,5,2026-06-15 20:41:25,2026-06-15 20:41:26,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""marriages"", ""waiting_times"", ""movie_run_times"", ""life_spans"", ""poem_lengths""]",4,poem_lengths,"[9, 21, 14, 3, 20]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:26,False,,,6,everyday_predictions,6,2026-06-15 20:41:26,2026-06-15 20:41:27,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""marriages"", ""movie_run_times"", ""waiting_times"", ""life_spans""]",4,life_spans,"[20, 7, 13, 25, 3]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:27,False,,,7,everyday_predictions,7,2026-06-15 20:41:27,2026-06-15 20:41:28,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""waiting_times"", ""marriages"", ""movie_run_times"", ""life_spans""]",4,life_spans,"[17, 21, 10, 12, 2]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:29,False,,,8,everyday_predictions,8,2026-06-15 20:41:29,2026-06-15 20:41:30,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""marriages"", ""movie_run_times"", ""poem_lengths"", ""waiting_times""]",4,waiting_times,"[4, 9, 11, 19, 22]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:30,False,,,9,everyday_predictions,9,2026-06-15 20:41:30,2026-06-15 20:41:31,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""life_spans"", ""poem_lengths"", ""waiting_times"", ""marriages""]",4,marriages,"[14, 5, 16, 24, 6]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:31,False,,,10,everyday_predictions,10,2026-06-15 20:41:31,2026-06-15 20:41:32,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""waiting_times"", ""poem_lengths"", ""movie_run_times"", ""marriages""]",4,marriages,"[1, 23, 18, 15, 8]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:32,False,,,11,everyday_predictions,11,2026-06-15 20:41:32,2026-06-15 20:41:33,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""marriages"", ""poem_lengths"", ""waiting_times"", ""movie_run_times""]",4,movie_run_times,"[4, 7, 20, 21, 11]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:34,False,,,12,everyday_predictions,12,2026-06-15 20:41:34,2026-06-15 20:41:35,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""marriages"", ""life_spans"", ""poem_lengths"", ""movie_run_times"", ""waiting_times""]",4,waiting_times,"[9, 5, 19, 12, 23]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:41:35,False,,,13,everyday_predictions,13,2026-06-15 20:41:35,2026-06-15 20:41:36,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""waiting_times"", ""poem_lengths"", ""marriages"", ""movie_run_times""]",4,movie_run_times,"[3, 25, 18, 10, 13]",5,1,ChainTrialMakerState,ModuleState
