vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,page_count,aborted,complete,pending_redirect,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id,locale
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:44.854896"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:43.964113""}",1,2026-06-15 20:42:41,False,,,Bot,,generic,662e47c6-3459-430a-a70f-a45b42d12b03,3b706fd5-6c89-4fc3-830c-38648d9b0275:662e47c6-3459-430a-a70f-a45b42d12b03,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],8e06439f-ae80-9cd7-28f2-06415973f872,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:46.136615"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:45.259791""}",2,2026-06-15 20:42:41,False,,,Bot,,generic,388110b0-b214-46fe-9a2d-6ec7b7764514,0067d390-fd7c-49a4-bde2-a14362ce6c25:388110b0-b214-46fe-9a2d-6ec7b7764514,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],febbf9b0-b76e-0ea5-072f-9ea876784e1a,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:47.392813"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:46.540425""}",3,2026-06-15 20:42:41,False,,,Bot,,generic,0d83bf37-826b-47ea-955a-d0777b8314c5,b183cb9a-cead-4427-8a6d-0e2b6daa067c:0d83bf37-826b-47ea-955a-d0777b8314c5,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],7b2e40ea-4b99-0b7e-e184-397c2cae2783,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:48.671849"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:47.792890""}",4,2026-06-15 20:42:42,False,,,Bot,,generic,e575bcbe-faf9-44f5-9bef-966f05598943,4389760e-bede-4510-96f0-22c97119a102:e575bcbe-faf9-44f5-9bef-966f05598943,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],c77a95ac-e121-a223-7aec-85b6e4a59b8d,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:49.937304"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:49.076408""}",5,2026-06-15 20:42:42,False,,,Bot,,generic,375c1ac6-405c-4473-8d61-ef707126f608,d8408da4-4cbc-4b9b-bd05-b67c93fde62b:375c1ac6-405c-4473-8d61-ef707126f608,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],fe85bbf1-ac3d-54fa-39be-5779d8817e07,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:51.210226"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:50.356395""}",6,2026-06-15 20:42:42,False,,,Bot,,generic,3797922f-4414-4119-946d-91971285761c,70413a67-89cb-48e3-beab-41699021a577:3797922f-4414-4119-946d-91971285761c,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],ebbe2cd1-60e7-b733-d285-f0ada87958dc,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:52.451235"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:51.612529""}",7,2026-06-15 20:42:42,False,,,Bot,,generic,1a6db097-3558-47d9-b8c8-c50adcdf18f5,6a216bea-6216-4047-ab5a-499db46017a5:1a6db097-3558-47d9-b8c8-c50adcdf18f5,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],bb7ca4ab-5aff-ba22-becf-66c9a3679e0d,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:53.711471"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:52.848900""}",8,2026-06-15 20:42:42,False,,,Bot,,generic,36dc4c95-8294-4818-bf28-805e904d6f83,236fa39c-1051-427f-bb7f-b9d4ffe76980:36dc4c95-8294-4818-bf28-805e904d6f83,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],c2ba5cc7-3d82-f17c-c6f4-3c74b541298f,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:54.979446"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:54.118540""}",9,2026-06-15 20:42:42,False,,,Bot,,generic,893e3eac-870f-4641-aace-4282e35c1153,347dffc1-f2f5-49b3-a81c-0cfb1574b8ff:893e3eac-870f-4641-aace-4282e35c1153,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],8a91d329-572a-e18d-cfec-9108b59eac66,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
"{""locale"": ""he"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:56.255208"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:55.383573""}",10,2026-06-15 20:42:42,False,,,Bot,,generic,152ae32e-84d3-4500-9b55-0d90754d6e9b,7b25ec05-a1d5-4ab2-8940-3c9540cac343:152ae32e-84d3-4500-9b55-0d90754d6e9b,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],2bff873f-f9b9-d2bd-cf18-626b1bd393e3,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,he
