vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-06-15 20:42:43,False,,,1,everyday_predictions,1,2026-06-15 20:42:43,2026-06-15 20:42:44,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""waiting_times"", ""marriages"", ""poem_lengths"", ""life_spans""]",4,life_spans,"[11, 22, 6, 16, 3]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:45,False,,,2,everyday_predictions,2,2026-06-15 20:42:45,2026-06-15 20:42:46,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""waiting_times"", ""movie_run_times"", ""marriages"", ""life_spans"", ""poem_lengths""]",4,poem_lengths,"[25, 13, 8, 5, 19]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:46,False,,,3,everyday_predictions,3,2026-06-15 20:42:46,2026-06-15 20:42:47,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""waiting_times"", ""marriages"", ""poem_lengths"", ""life_spans""]",4,life_spans,"[12, 23, 10, 20, 1]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:47,False,,,4,everyday_predictions,4,2026-06-15 20:42:47,2026-06-15 20:42:48,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""waiting_times"", ""movie_run_times"", ""marriages"", ""poem_lengths"", ""life_spans""]",4,life_spans,"[24, 14, 7, 18, 2]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:49,False,,,5,everyday_predictions,5,2026-06-15 20:42:49,2026-06-15 20:42:49,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""marriages"", ""life_spans"", ""movie_run_times"", ""poem_lengths"", ""waiting_times""]",4,waiting_times,"[9, 4, 15, 17, 21]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:50,False,,,6,everyday_predictions,6,2026-06-15 20:42:50,2026-06-15 20:42:51,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""waiting_times"", ""poem_lengths"", ""life_spans"", ""movie_run_times"", ""marriages""]",4,marriages,"[23, 16, 2, 13, 10]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:51,False,,,7,everyday_predictions,7,2026-06-15 20:42:51,2026-06-15 20:42:52,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""marriages"", ""life_spans"", ""waiting_times"", ""movie_run_times""]",4,movie_run_times,"[17, 9, 4, 25, 11]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:52,False,,,8,everyday_predictions,8,2026-06-15 20:42:52,2026-06-15 20:42:53,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""waiting_times"", ""life_spans"", ""poem_lengths"", ""marriages"", ""movie_run_times""]",4,movie_run_times,"[21, 5, 19, 8, 14]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:54,False,,,9,everyday_predictions,9,2026-06-15 20:42:54,2026-06-15 20:42:54,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""marriages"", ""life_spans"", ""poem_lengths"", ""movie_run_times"", ""waiting_times""]",4,waiting_times,"[7, 3, 20, 12, 22]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:55,False,,,10,everyday_predictions,10,2026-06-15 20:42:55,2026-06-15 20:42:56,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""movie_run_times"", ""waiting_times"", ""marriages"", ""life_spans""]",4,life_spans,"[18, 15, 24, 6, 1]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:56,False,,,11,everyday_predictions,11,2026-06-15 20:42:56,2026-06-15 20:42:57,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""marriages"", ""poem_lengths"", ""movie_run_times"", ""waiting_times""]",4,waiting_times,"[5, 9, 18, 11, 21]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:57,False,,,12,everyday_predictions,12,2026-06-15 20:42:57,2026-06-15 20:42:58,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""poem_lengths"", ""movie_run_times"", ""marriages"", ""waiting_times""]",4,waiting_times,"[1, 20, 15, 8, 23]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:42:59,False,,,13,everyday_predictions,13,2026-06-15 20:42:59,2026-06-15 20:43:00,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""waiting_times"", ""marriages"", ""poem_lengths"", ""life_spans""]",4,life_spans,"[12, 22, 7, 17, 2]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:43:00,False,,,14,everyday_predictions,14,2026-06-15 20:43:00,2026-06-15 20:43:01,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""poem_lengths"", ""marriages"", ""life_spans"", ""waiting_times"", ""movie_run_times""]",4,movie_run_times,"[16, 10, 3, 24, 14]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:43:01,False,,,15,everyday_predictions,15,2026-06-15 20:43:01,2026-06-15 20:43:02,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""life_spans"", ""poem_lengths"", ""waiting_times"", ""marriages""]",4,marriages,"[13, 4, 19, 25, 6]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:43:03,False,,,16,everyday_predictions,16,2026-06-15 20:43:03,2026-06-15 20:43:04,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""movie_run_times"", ""life_spans"", ""poem_lengths"", ""waiting_times"", ""marriages""]",4,marriages,"[14, 5, 18, 25, 10]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:43:04,False,,,17,everyday_predictions,17,2026-06-15 20:43:04,2026-06-15 20:43:05,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""movie_run_times"", ""marriages"", ""waiting_times"", ""poem_lengths""]",4,poem_lengths,"[1, 15, 8, 21, 16]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-15 20:43:05,False,,,18,everyday_predictions,18,2026-06-15 20:43:05,2026-06-15 20:43:06,,True,True,False,ChainTrialMakerState,default,False,,,,5,5,True,"[""life_spans"", ""waiting_times"", ""movie_run_times"", ""poem_lengths"", ""marriages""]",4,marriages,"[2, 24, 13, 20, 6]",5,1,ChainTrialMakerState,ModuleState
