vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,metadata_,class,object_type
{},1,2026-06-15 20:42:43,False,,,Response,1,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},2,2026-06-15 20:42:44,False,,,Response,1,prediction_movie_run_times,64.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},3,2026-06-15 20:42:44,False,,,Response,1,prediction_waiting_times,12.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},4,2026-06-15 20:42:44,False,,,Response,1,prediction_marriages,17.9,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},5,2026-06-15 20:42:44,False,,,Response,1,prediction_poem_lengths,6.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},6,2026-06-15 20:42:44,False,,,Response,1,prediction_life_spans,83.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},7,2026-06-15 20:42:44,False,,,Response,1,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},8,2026-06-15 20:42:45,False,,,Response,1,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},9,2026-06-15 20:42:45,False,,,Response,2,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},10,2026-06-15 20:42:45,False,,,Response,2,prediction_waiting_times,45.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},11,2026-06-15 20:42:45,False,,,Response,2,prediction_movie_run_times,107.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},12,2026-06-15 20:42:45,False,,,Response,2,prediction_marriages,23.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},13,2026-06-15 20:42:45,False,,,Response,2,prediction_life_spans,96,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},14,2026-06-15 20:42:46,False,,,Response,2,prediction_poem_lengths,51.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},15,2026-06-15 20:42:46,False,,,Response,2,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},16,2026-06-15 20:42:46,False,,,Response,2,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},17,2026-06-15 20:42:46,False,,,Response,3,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},18,2026-06-15 20:42:46,False,,,Response,3,prediction_movie_run_times,88.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},19,2026-06-15 20:42:46,False,,,Response,3,prediction_waiting_times,18.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},20,2026-06-15 20:42:47,False,,,Response,3,prediction_marriages,32.9,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},21,2026-06-15 20:42:47,False,,,Response,3,prediction_poem_lengths,110.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},22,2026-06-15 20:42:47,False,,,Response,3,prediction_life_spans,67.3,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},23,2026-06-15 20:42:47,False,,,Response,3,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},24,2026-06-15 20:42:47,False,,,Response,3,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},25,2026-06-15 20:42:47,False,,,Response,4,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},26,2026-06-15 20:42:47,False,,,Response,4,prediction_waiting_times,27.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},27,2026-06-15 20:42:48,False,,,Response,4,prediction_movie_run_times,117.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},28,2026-06-15 20:42:48,False,,,Response,4,prediction_marriages,16.9,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},29,2026-06-15 20:42:48,False,,,Response,4,prediction_poem_lengths,21.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},30,2026-06-15 20:42:48,False,,,Response,4,prediction_life_spans,72.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},31,2026-06-15 20:42:48,False,,,Response,4,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},32,2026-06-15 20:42:48,False,,,Response,4,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},33,2026-06-15 20:42:49,False,,,Response,5,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},34,2026-06-15 20:42:49,False,,,Response,5,prediction_marriages,25.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},35,2026-06-15 20:42:49,False,,,Response,5,prediction_life_spans,92.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},36,2026-06-15 20:42:49,False,,,Response,5,prediction_movie_run_times,128.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},37,2026-06-15 20:42:49,False,,,Response,5,prediction_poem_lengths,9.6,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},38,2026-06-15 20:42:49,False,,,Response,5,prediction_waiting_times,9.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},39,2026-06-15 20:42:50,False,,,Response,5,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},40,2026-06-15 20:42:50,False,,,Response,5,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},41,2026-06-15 20:42:50,False,,,Response,6,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},42,2026-06-15 20:42:50,False,,,Response,6,prediction_waiting_times,18.6,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},43,2026-06-15 20:42:50,False,,,Response,6,prediction_poem_lengths,6.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},44,2026-06-15 20:42:50,False,,,Response,6,prediction_life_spans,73.6,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},45,2026-06-15 20:42:51,False,,,Response,6,prediction_movie_run_times,103.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},46,2026-06-15 20:42:51,False,,,Response,6,prediction_marriages,32.9,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},47,2026-06-15 20:42:51,False,,,Response,6,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},48,2026-06-15 20:42:51,False,,,Response,6,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},49,2026-06-15 20:42:51,False,,,Response,7,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},50,2026-06-15 20:42:51,False,,,Response,7,prediction_poem_lengths,9.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},51,2026-06-15 20:42:51,False,,,Response,7,prediction_marriages,24.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},52,2026-06-15 20:42:52,False,,,Response,7,prediction_life_spans,93.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},53,2026-06-15 20:42:52,False,,,Response,7,prediction_waiting_times,46.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},54,2026-06-15 20:42:52,False,,,Response,7,prediction_movie_run_times,62.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},55,2026-06-15 20:42:52,False,,,Response,7,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},56,2026-06-15 20:42:52,False,,,Response,7,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},57,2026-06-15 20:42:52,False,,,Response,8,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},58,2026-06-15 20:42:52,False,,,Response,8,prediction_waiting_times,10.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},59,2026-06-15 20:42:53,False,,,Response,8,prediction_life_spans,96,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},60,2026-06-15 20:42:53,False,,,Response,8,prediction_poem_lengths,50.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},61,2026-06-15 20:42:53,False,,,Response,8,prediction_marriages,23.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},62,2026-06-15 20:42:53,False,,,Response,8,prediction_movie_run_times,120.9,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},63,2026-06-15 20:42:53,False,,,Response,8,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},64,2026-06-15 20:42:53,False,,,Response,8,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},65,2026-06-15 20:42:54,False,,,Response,9,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},66,2026-06-15 20:42:54,False,,,Response,9,prediction_marriages,18.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},67,2026-06-15 20:42:54,False,,,Response,9,prediction_life_spans,83.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},68,2026-06-15 20:42:54,False,,,Response,9,prediction_poem_lengths,104.4,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},69,2026-06-15 20:42:54,False,,,Response,9,prediction_movie_run_times,87.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},70,2026-06-15 20:42:54,False,,,Response,9,prediction_waiting_times,13.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},71,2026-06-15 20:42:55,False,,,Response,9,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},72,2026-06-15 20:42:55,False,,,Response,9,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},73,2026-06-15 20:42:55,False,,,Response,10,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},74,2026-06-15 20:42:55,False,,,Response,10,prediction_poem_lengths,19.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},75,2026-06-15 20:42:55,False,,,Response,10,prediction_movie_run_times,132.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},76,2026-06-15 20:42:55,False,,,Response,10,prediction_waiting_times,26.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},77,2026-06-15 20:42:56,False,,,Response,10,prediction_marriages,18.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},78,2026-06-15 20:42:56,False,,,Response,10,prediction_life_spans,68.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},79,2026-06-15 20:42:56,False,,,Response,10,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},80,2026-06-15 20:42:56,False,,,Response,10,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},81,2026-06-15 20:42:56,False,,,Response,11,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},82,2026-06-15 20:42:56,False,,,Response,11,prediction_life_spans,99.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},83,2026-06-15 20:42:56,False,,,Response,11,prediction_marriages,23.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},84,2026-06-15 20:42:57,False,,,Response,11,prediction_poem_lengths,22.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},85,2026-06-15 20:42:57,False,,,Response,11,prediction_movie_run_times,62.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},86,2026-06-15 20:42:57,False,,,Response,11,prediction_waiting_times,8.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},87,2026-06-15 20:42:57,False,,,Response,11,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},88,2026-06-15 20:42:57,False,,,Response,11,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},89,2026-06-15 20:42:57,False,,,Response,12,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},90,2026-06-15 20:42:58,False,,,Response,12,prediction_life_spans,67.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
