vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,can_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},1,2026-06-15 20:42:37,False,,,TrialSource,1,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""life_spans"", ""t_past"": 18, ""unit"": ""years""}",,default,life_spans,False,4,StaticNode,Node
{},2,2026-06-15 20:42:37,False,,,TrialSource,2,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""life_spans"", ""t_past"": 39, ""unit"": ""years""}",,default,life_spans,False,4,StaticNode,Node
{},3,2026-06-15 20:42:37,False,,,TrialSource,3,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""life_spans"", ""t_past"": 61, ""unit"": ""years""}",,default,life_spans,False,3,StaticNode,Node
{},4,2026-06-15 20:42:37,False,,,TrialSource,4,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""life_spans"", ""t_past"": 83, ""unit"": ""years""}",,default,life_spans,False,3,StaticNode,Node
{},5,2026-06-15 20:42:37,False,,,TrialSource,5,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""life_spans"", ""t_past"": 96, ""unit"": ""years""}",,default,life_spans,False,4,StaticNode,Node
{},6,2026-06-15 20:42:37,False,,,TrialSource,6,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""marriages"", ""t_past"": 1, ""unit"": ""years""}",,default,marriages,False,4,StaticNode,Node
{},7,2026-06-15 20:42:37,False,,,TrialSource,7,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""marriages"", ""t_past"": 3, ""unit"": ""years""}",,default,marriages,False,3,StaticNode,Node
{},8,2026-06-15 20:42:37,False,,,TrialSource,8,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""marriages"", ""t_past"": 7, ""unit"": ""years""}",,default,marriages,False,4,StaticNode,Node
{},9,2026-06-15 20:42:37,False,,,TrialSource,9,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""marriages"", ""t_past"": 11, ""unit"": ""years""}",,default,marriages,False,3,StaticNode,Node
{},10,2026-06-15 20:42:37,False,,,TrialSource,10,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""marriages"", ""t_past"": 23, ""unit"": ""years""}",,default,marriages,False,4,StaticNode,Node
{},11,2026-06-15 20:42:37,False,,,TrialSource,11,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""movie_run_times"", ""t_past"": 30, ""unit"": ""minutes""}",,default,movie_run_times,False,3,StaticNode,Node
{},12,2026-06-15 20:42:37,False,,,TrialSource,12,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""movie_run_times"", ""t_past"": 60, ""unit"": ""minutes""}",,default,movie_run_times,False,3,StaticNode,Node
{},13,2026-06-15 20:42:37,False,,,TrialSource,13,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""movie_run_times"", ""t_past"": 80, ""unit"": ""minutes""}",,default,movie_run_times,False,4,StaticNode,Node
{},14,2026-06-15 20:42:37,False,,,TrialSource,14,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""movie_run_times"", ""t_past"": 95, ""unit"": ""minutes""}",,default,movie_run_times,False,4,StaticNode,Node
{},15,2026-06-15 20:42:37,False,,,TrialSource,15,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""movie_run_times"", ""t_past"": 110, ""unit"": ""minutes""}",,default,movie_run_times,False,4,StaticNode,Node
