,,,mean,count
,,,score,score
probe_id,set_size,probe_present,,
blue,3.0,False,0.0,1
blue,3.0,True,1.0,1
blue,4.0,False,0.0,1
blue,4.0,True,1.0,1
blue,5.0,False,0.0,1
blue,5.0,True,1.0,1
green,3.0,False,0.0,1
green,3.0,True,1.0,1
green,4.0,False,0.0,1
green,4.0,True,1.0,1
green,5.0,False,0.0,1
green,5.0,True,1.0,1
orange,3.0,False,1.0,1
orange,3.0,True,1.0,1
orange,4.0,False,1.0,1
orange,4.0,True,1.0,1
orange,5.0,False,1.0,1
orange,5.0,True,1.0,1
purple,3.0,False,0.0,1
purple,3.0,True,1.0,1
purple,4.0,False,0.0,1
purple,4.0,True,1.0,1
purple,5.0,False,0.0,1
purple,5.0,True,1.0,1
red,3.0,False,1.0,1
red,3.0,True,1.0,1
red,4.0,False,1.0,1
red,4.0,True,1.0,1
red,5.0,False,1.0,1
red,5.0,True,1.0,1
yellow,3.0,False,1.0,1
yellow,3.0,True,1.0,1
yellow,4.0,False,1.0,1
yellow,4.0,True,1.0,1
yellow,5.0,False,1.0,1
yellow,5.0,True,1.0,1
