participant_id,trial_index,stimulus_id,family,inversion,timbre,valence,tension,energy,nostalgia_longing,melancholy_sadness,interest_expectancy,happiness_joy,tenderness,liking_preference
1,1,diminished_triad__root__strings,diminished_triad,root,strings,1.731,3.789,2.811,3.076,2.891,3.741,1.364,2.124,1.784
1,2,major_triad__second__piano,major_triad,second,piano,4.691,3.276,2.969,2.166,1.35,2.778,4.408,1.581,2.926
1,3,minor_triad__first__piano,minor_triad,first,piano,2.654,3.166,2.317,3.242,3.42,3.301,2.041,1.939,2.812
1,4,augmented_triad__root__strings,augmented_triad,root,strings,1.982,3.241,3.539,1.629,3.293,3.356,2.381,2.243,1.408
1,5,minor_seventh__root__strings,minor_seventh,root,strings,2.948,2.65,2.285,3.441,2.532,2.506,2.064,3.824,2.149
1,6,major_seventh__root__piano,major_seventh,root,piano,3.239,4.207,2.297,3.237,2.077,2.715,2.727,3.018,2.743
1,7,dominant_seventh__third__strings,dominant_seventh,third,strings,2.528,3.87,2.977,2.991,1.991,3.489,2.379,2.367,2.976
1,8,dominant_seventh__root__strings,dominant_seventh,root,strings,2.797,3.998,3.271,3.522,2.578,3.531,2.56,3.457,2.927
1,9,augmented_triad__root__piano,augmented_triad,root,piano,2.0,4.25,2.907,2.104,2.092,3.169,1.345,2.123,2.138
1,10,major_seventh__root__strings,major_seventh,root,strings,2.997,3.306,2.514,3.091,2.532,2.617,2.631,3.29,2.908
1,11,dominant_seventh__root__piano,dominant_seventh,root,piano,2.849,3.171,3.451,2.62,1.755,3.14,2.482,2.288,2.303
1,12,major_triad__first__strings,major_triad,first,strings,4.551,2.538,2.431,2.68,1.141,3.016,3.16,2.451,2.143
1,13,minor_triad__first__strings,minor_triad,first,strings,2.81,3.68,2.43,2.64,3.383,2.819,2.356,2.466,1.98
1,14,major_triad__root__piano,major_triad,root,piano,3.773,2.311,2.584,2.633,1.285,2.101,3.173,2.876,2.679
1,15,minor_triad__second__piano,minor_triad,second,piano,3.303,2.027,3.689,2.495,2.432,2.545,2.053,3.146,1.359
1,16,minor_seventh__third__piano,minor_seventh,third,piano,3.142,3.596,2.963,3.242,2.552,2.848,2.131,2.545,1.951
1,17,minor_triad__root__piano,minor_triad,root,piano,3.002,2.971,2.673,3.538,3.48,2.947,1.94,1.819,2.62
1,18,major_triad__first__piano,major_triad,first,piano,3.562,2.598,2.714,1.734,1.14,2.64,4.512,2.076,1.898
1,19,minor_triad__second__strings,minor_triad,second,strings,2.613,2.732,2.253,3.399,3.708,2.903,2.183,3.283,2.588
1,20,major_triad__second__strings,major_triad,second,strings,3.874,2.626,2.718,3.053,1.0,2.341,2.576,2.266,2.139
1,21,minor_seventh__third__strings,minor_seventh,third,strings,2.444,3.284,2.089,3.898,2.545,2.863,1.75,3.754,2.724
1,22,minor_seventh__root__piano,minor_seventh,root,piano,3.62,4.017,2.515,3.162,2.722,3.017,1.743,3.249,2.472
1,23,major_triad__root__strings,major_triad,root,strings,3.6,2.284,3.217,2.032,1.213,1.798,4.097,2.814,3.101
1,24,dominant_seventh__third__piano,dominant_seventh,third,piano,3.268,3.693,3.374,3.184,2.146,3.954,3.658,2.698,1.771
1,25,major_seventh__third__piano,major_seventh,third,piano,2.117,2.839,3.069,3.347,2.403,3.094,2.336,2.521,2.774
1,26,diminished_triad__root__piano,diminished_triad,root,piano,2.107,3.67,2.529,1.594,3.079,3.453,2.038,1.791,1.73
1,27,minor_triad__root__strings,minor_triad,root,strings,2.767,2.808,2.11,3.499,3.47,2.124,1.62,3.28,1.81
1,28,major_seventh__third__strings,major_seventh,third,strings,2.543,2.775,2.604,3.382,2.681,2.568,1.843,2.902,2.744
2,1,dominant_seventh__root__strings,dominant_seventh,root,strings,2.699,3.769,2.697,3.052,1.427,3.507,3.17,1.881,1.803
2,2,major_seventh__third__piano,major_seventh,third,piano,3.091,2.99,2.457,2.679,2.603,3.113,1.297,2.92,3.155
2,3,dominant_seventh__third__piano,dominant_seventh,third,piano,2.852,3.333,2.383,3.287,1.241,4.288,2.909,2.359,2.476
2,4,minor_triad__second__piano,minor_triad,second,piano,2.871,3.182,3.26,3.029,3.107,3.089,2.018,2.895,1.713
2,5,minor_triad__first__strings,minor_triad,first,strings,2.323,3.661,2.465,3.252,3.408,2.307,1.848,2.877,1.981
2,6,major_seventh__root__piano,major_seventh,root,piano,3.152,3.324,2.941,2.023,2.45,3.426,2.388,2.687,2.18
2,7,dominant_seventh__third__strings,dominant_seventh,third,strings,2.357,2.893,3.008,2.58,3.081,4.183,1.771,2.554,2.015
2,8,major_triad__second__strings,major_triad,second,strings,3.267,3.059,2.511,2.063,1.878,2.858,4.596,2.433,2.299
2,9,minor_triad__second__strings,minor_triad,second,strings,2.099,2.234,2.621,3.05,4.191,2.861,1.081,2.59,2.146
2,10,minor_seventh__root__piano,minor_seventh,root,piano,2.899,2.974,2.322,1.977,2.118,3.059,2.178,3.053,2.359
2,11,diminished_triad__root__piano,diminished_triad,root,piano,1.578,2.513,3.462,1.412,2.489,3.139,1.576,1.575,1.374
2,12,major_triad__first__piano,major_triad,first,piano,3.625,2.95,2.378,1.609,1.728,1.912,4.473,1.767,2.844
