id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,vars,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_
22,2026-06-10 14:24:07.893489,,,,,,False,,,{},psynet.timeline.Response,{},1,single_chord_rating,"{""valence"": 3, ""tension"": 2, ""energy"": 4, ""nostalgia_longing"": 3, ""melancholy_sadness"": 2, ""interest_expectancy"": 4, ""happiness_joy"": 1, ""tenderness"": 3, ""liking_preference"": 3}",ModularPage,True,127.0.0.1,"{""time_taken"": 425.135, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:17:02.784Z"", ""info"": null}, {""eventType"": ""showNextButton"", ""localTime"": ""2026-06-10T14:17:02.801Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:17:02.801Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:17:02.802Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-06-10T14:17:02.802Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:17:02.802Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2026-06-10T14:17:06.819Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2026-06-10T14:17:06.819Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:17:06.819Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2026-06-10T14:17:06.820Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2026-06-10T14:17:06.820Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:22:06.603Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:22:06.608Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-06-10T14:22:06.608Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:22:06.608Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2026-06-10T14:22:10.611Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2026-06-10T14:22:10.611Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:22:10.611Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2026-06-10T14:22:10.612Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2026-06-10T14:22:10.612Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Listen to this single chord as many times as you like. Rate the emotional qualities the chord seems to convey."", ""url"": ""/static/assets/experiments/single-chord-emotion-replication__mode%3Ddebug__launch%3D2026-06-10--14-06-48/single_chord_ratings/nodes/node_3__stimulus_audio__89b00b17-97e2-468d-9ac3-912136c9c977.wav"", ""play_window"": [null, null]}, ""control"": {}}"
21,2026-06-10 14:17:02.444411,,,,,,False,,,{},psynet.timeline.Response,{},1,info,,InfoPage,True,127.0.0.1,"{""time_taken"": 10.442, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:16:52.014Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:16:52.015Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:16:52.015Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:16:52.020Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:16:52.020Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {}}"
20,2026-06-10 14:16:51.786406,,,,,,False,,,{},psynet.timeline.Response,{},1,omsi_self_title,"""nonmusician""",ChoicePage,True,127.0.0.1,"{""time_taken"": 20.178, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:16:31.624Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:16:31.625Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:16:31.626Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:16:31.630Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:16:31.630Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""nonmusician"", ""music_loving_nonmusician"", ""amateur_musician"", ""serious_amateur_musician"", ""semiprofessional_musician"", ""professional_musician""], ""labels"": [""Nonmusician"", ""Music-loving nonmusician"", ""Amateur musician"", ""Serious amateur musician"", ""Semiprofessional musician"", ""Professional musician""], ""force_selection"": true}}"
19,2026-06-10 14:16:31.397540,,,,,,False,,,{},psynet.timeline.Response,{},1,omsi_concert_attendance,"""none""",ChoicePage,True,127.0.0.1,"{""time_taken"": 19.484, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:16:11.930Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:16:11.931Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:16:11.931Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:16:11.935Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:16:11.935Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""none"", ""one_to_four"", ""five_to_eight"", ""nine_to_twelve"", ""thirteen_or_more""], ""labels"": [""None"", ""1-4"", ""5-8"", ""9-12"", ""13 or more""], ""force_selection"": true}}"
18,2026-06-10 14:16:11.694991,,,,,,False,,,{},psynet.timeline.Response,{},1,omsi_composition_experience,"""never""",ChoicePage,True,127.0.0.1,"{""time_taken"": 20.243, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:15:51.466Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:15:51.468Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:15:51.468Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:15:51.472Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:15:51.473Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""never"", ""bits_and_pieces"", ""completed_but_not_performed"", ""performed_in_educational_context"", ""performed_for_local_audience"", ""performed_for_regional_or_national_audience""], ""labels"": [""Have never composed any music"", ""Have composed bits and pieces, but have never completed a piece of music"", ""Have composed one or more complete pieces, but none have been performed"", ""Have composed pieces as assignments or projects for music classes, and one or more of them have been performed or recorded there"", ""Have composed pieces that have been performed for a local audience"", ""Have composed pieces that have been performed for a regional or national audience""], ""force_selection"": true}}"
17,2026-06-10 14:15:51.244035,,,,,,False,,,{},psynet.timeline.Response,{},1,omsi_has_college_music,"""no""",YesNoPage,True,127.0.0.1,"{""time_taken"": 10.996, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:15:40.265Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:15:40.266Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:15:40.266Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:15:40.270Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:15:40.270Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2026-06-10T14:15:51.235Z"", ""info"": {""buttonId"": ""no""}}], ""comments"": [], ""prompt"": {}, ""control"": {""choices"": [""yes"", ""no""], ""labels"": [""Yes"", ""No""]}}"
16,2026-06-10 14:15:40.043592,,,,,,False,,,{},psynet.timeline.Response,{},1,omsi_current_practice_amount,"""rarely_or_never""",ChoicePage,True,127.0.0.1,"{""time_taken"": 42.787, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:14:57.273Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:14:57.274Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:14:57.274Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:14:57.278Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:14:57.278Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""name"": ""radiobuttons"", ""choices"": [""rarely_or_never"", ""one_hour_per_month"", ""one_hour_per_week"", ""fifteen_minutes_per_day"", ""one_hour_per_day"", ""more_than_two_hours_per_day""], ""labels"": [""I rarely or never practice singing or playing an instrument"", ""About 1 hour per month"", ""About 1 hour per week"", ""About 15 minutes per day"", ""About 1 hour per day"", ""More than 2 hours per day""], ""force_selection"": true}}"
15,2026-06-10 14:14:57.046319,,,,,,False,,,{},psynet.timeline.Response,{},1,omsi_regular_practice_years,"""0""",IntegerPage,True,127.0.0.1,"{""time_taken"": 34.198, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:14:22.862Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:14:22.864Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:14:22.864Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:14:22.868Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:14:22.868Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""width"": ""120px"", ""text_align"": ""right""}}"
14,2026-06-10 14:14:22.642544,,,,,,False,,,{},psynet.timeline.Response,{},1,omsi_private_lessons_years,"""0""",IntegerPage,True,127.0.0.1,"{""time_taken"": 19.33, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:14:03.329Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:14:03.330Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:14:03.330Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:14:03.334Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:14:03.335Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""width"": ""120px"", ""text_align"": ""right""}}"
13,2026-06-10 14:14:03.085021,,,,,,False,,,{},psynet.timeline.Response,{},1,omsi_age_started,"""0""",IntegerPage,True,127.0.0.1,"{""time_taken"": 30.745, ""platform"": ""Chrome 148.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-10T14:13:32.354Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-10T14:13:32.355Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-10T14:13:32.355Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-10T14:13:32.360Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-10T14:13:32.360Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""width"": ""120px"", ""text_align"": ""right""}}"
