_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,animal,text_color,recording_hash,recording_object_key,recording_object_url
{},{},1,2026-06-14 14:31:15,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:15,AnimalTrial,9,9,,True,9,1,1,animals,"{""animal"": ""fish"", ""text_color"": ""blue"", ""recording_hash"": ""98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403"", ""recording_object_key"": ""streaming-static-trials/98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403.webm""}",True,False,0.0,0.0,,not_at_all,True,3,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,C,AnimalTrial,Info,fish,blue,98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403,streaming-static-trials/98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/98191b4ddb2d6a3cd74fa90ed3e3140a6c7a3403.webm
{},{},2,2026-06-14 14:31:16,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:16,AnimalTrial,10,10,,True,10,2,2,animals,"{""animal"": ""ponies"", ""text_color"": ""red"", ""recording_hash"": ""82244a27ada9795ca86fdbfff22616c5077c0ba3"", ""recording_object_key"": ""streaming-static-trials/82244a27ada9795ca86fdbfff22616c5077c0ba3.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/82244a27ada9795ca86fdbfff22616c5077c0ba3.webm""}",True,False,1.0,0.01,,very_much,True,5,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,A,AnimalTrial,Info,ponies,red,82244a27ada9795ca86fdbfff22616c5077c0ba3,streaming-static-trials/82244a27ada9795ca86fdbfff22616c5077c0ba3.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/82244a27ada9795ca86fdbfff22616c5077c0ba3.webm
{},{},3,2026-06-14 14:31:16,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:16,AnimalTrial,4,4,,True,4,2,2,animals,"{""animal"": ""dogs"", ""text_color"": ""red"", ""recording_hash"": ""10f94392d3ad0d519e91be0ef8a1c47f9a751493"", ""recording_object_key"": ""streaming-static-trials/10f94392d3ad0d519e91be0ef8a1c47f9a751493.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/10f94392d3ad0d519e91be0ef8a1c47f9a751493.webm""}",True,False,0.0,0.0,,not_at_all,True,7,,,6.0,14.0,20.0,6.0,0.1917808219178082,0.273972602739726,False,False,False,False,0,A,AnimalTrial,Info,dogs,red,10f94392d3ad0d519e91be0ef8a1c47f9a751493,streaming-static-trials/10f94392d3ad0d519e91be0ef8a1c47f9a751493.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/10f94392d3ad0d519e91be0ef8a1c47f9a751493.webm
{},{},4,2026-06-14 14:31:16,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:16,AnimalTrial,1,1,,True,1,3,3,animals,"{""animal"": ""cats"", ""text_color"": ""red"", ""recording_hash"": ""d82fd2cd66ed38f98e416158f94ae240c8196f0e"", ""recording_object_key"": ""streaming-static-trials/d82fd2cd66ed38f98e416158f94ae240c8196f0e.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d82fd2cd66ed38f98e416158f94ae240c8196f0e.webm""}",True,False,0.0,0.0,,not_at_all,True,10,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,A,AnimalTrial,Info,cats,red,d82fd2cd66ed38f98e416158f94ae240c8196f0e,streaming-static-trials/d82fd2cd66ed38f98e416158f94ae240c8196f0e.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d82fd2cd66ed38f98e416158f94ae240c8196f0e.webm
{},{},5,2026-06-14 14:31:17,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:17,AnimalTrial,4,4,,True,4,4,4,animals,"{""animal"": ""dogs"", ""text_color"": ""blue"", ""recording_hash"": ""088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f"", ""recording_object_key"": ""streaming-static-trials/088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f.webm""}",True,False,1.0,0.01,,a_little,True,12,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,A,AnimalTrial,Info,dogs,blue,088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f,streaming-static-trials/088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/088b2f2a5b87d45439b48ee5fe1dcd07fdd04d1f.webm
{},{},6,2026-06-14 14:31:17,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:17,AnimalTrial,1,1,,True,1,4,4,animals,"{""animal"": ""cats"", ""text_color"": ""green"", ""recording_hash"": ""629c44806848dab44e342f6a04a7be688847cd25"", ""recording_object_key"": ""streaming-static-trials/629c44806848dab44e342f6a04a7be688847cd25.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/629c44806848dab44e342f6a04a7be688847cd25.webm""}",True,False,0.0,0.0,,not_at_all,True,14,,,6.0,14.0,20.0,6.0,0.1917808219178082,0.273972602739726,False,False,False,False,0,A,AnimalTrial,Info,cats,green,629c44806848dab44e342f6a04a7be688847cd25,streaming-static-trials/629c44806848dab44e342f6a04a7be688847cd25.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/629c44806848dab44e342f6a04a7be688847cd25.webm
{},{},7,2026-06-14 14:31:17,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:18,AnimalTrial,5,5,,True,5,5,5,animals,"{""animal"": ""dogs"", ""text_color"": ""blue"", ""recording_hash"": ""c56328364a5c4b7663ac61feadf6fd0a83c9632f"", ""recording_object_key"": ""streaming-static-trials/c56328364a5c4b7663ac61feadf6fd0a83c9632f.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/c56328364a5c4b7663ac61feadf6fd0a83c9632f.webm""}",True,False,1.0,0.01,,a_little,True,16,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,B,AnimalTrial,Info,dogs,blue,c56328364a5c4b7663ac61feadf6fd0a83c9632f,streaming-static-trials/c56328364a5c4b7663ac61feadf6fd0a83c9632f.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/c56328364a5c4b7663ac61feadf6fd0a83c9632f.webm
{},{},8,2026-06-14 14:31:17,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:18,AnimalTrial,2,2,,True,2,5,5,animals,"{""animal"": ""cats"", ""text_color"": ""green"", ""recording_hash"": ""8e3e373c40f0c0600650f7ff920c275f48bf68bd"", ""recording_object_key"": ""streaming-static-trials/8e3e373c40f0c0600650f7ff920c275f48bf68bd.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8e3e373c40f0c0600650f7ff920c275f48bf68bd.webm""}",True,False,0.0,0.0,,not_at_all,True,18,,,6.0,14.0,20.0,6.0,0.1917808219178082,0.273972602739726,False,False,False,False,0,B,AnimalTrial,Info,cats,green,8e3e373c40f0c0600650f7ff920c275f48bf68bd,streaming-static-trials/8e3e373c40f0c0600650f7ff920c275f48bf68bd.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8e3e373c40f0c0600650f7ff920c275f48bf68bd.webm
{},{},9,2026-06-14 14:31:18,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:19,AnimalTrial,10,10,,True,10,6,6,animals,"{""animal"": ""ponies"", ""text_color"": ""green"", ""recording_hash"": ""fb66382f30145dce8e40af9c629e1e19475c0d1b"", ""recording_object_key"": ""streaming-static-trials/fb66382f30145dce8e40af9c629e1e19475c0d1b.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/fb66382f30145dce8e40af9c629e1e19475c0d1b.webm""}",True,False,1.0,0.01,,very_much,True,20,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,A,AnimalTrial,Info,ponies,green,fb66382f30145dce8e40af9c629e1e19475c0d1b,streaming-static-trials/fb66382f30145dce8e40af9c629e1e19475c0d1b.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/fb66382f30145dce8e40af9c629e1e19475c0d1b.webm
{},{},10,2026-06-14 14:31:18,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:19,AnimalTrial,1,1,,True,1,6,6,animals,"{""animal"": ""cats"", ""text_color"": ""blue"", ""recording_hash"": ""8a1a3fd3c471ea9161f3c76ab7212133a37f4097"", ""recording_object_key"": ""streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm""}",True,False,1.0,0.01,15.0,a_little,True,21,,,6.0,14.0,20.0,6.0,0.1917808219178082,0.273972602739726,False,False,False,False,0,A,AnimalTrial,Info,cats,blue,8a1a3fd3c471ea9161f3c76ab7212133a37f4097,streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm
