vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-06-14 14:31:15,False,,,1,animals,1,2026-06-14 14:31:15,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 0, ""passed"": false}",,,1,1,True,"[""C"", ""A"", ""B""]",0,C,[9],1,1,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:16,False,,,2,animals,2,2026-06-14 14:31:16,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 1, ""passed"": false}",,,2,2,True,"[""A"", ""B"", ""C""]",0,A,"[10, 4]",2,2,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:16,False,,,3,animals,3,2026-06-14 14:31:16,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 0, ""passed"": false}",,,1,1,True,"[""A"", ""B"", ""C""]",0,A,[1],1,1,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:17,False,,,4,animals,4,2026-06-14 14:31:17,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 1, ""passed"": false}",,,2,2,True,"[""A"", ""B"", ""C""]",0,A,"[4, 1]",2,2,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:17,False,,,5,animals,5,2026-06-14 14:31:17,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 1, ""passed"": false}",,,2,2,True,"[""B"", ""A"", ""C""]",0,B,"[5, 2]",2,2,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:18,False,,,6,animals,6,2026-06-14 14:31:18,,,True,False,False,ChainTrialMakerState,default,True,"{""score"": 6, ""passed"": false}","[10, 11, 9]",1.0,6,7,True,"[""A"", ""B"", ""C""]",2,C,"[10, 1, 2, 5, 6, 12, 1]",7,3,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:19,False,,,7,animals,7,2026-06-14 14:31:19,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 0, ""passed"": false}",,,1,1,True,"[""B"", ""A"", ""C""]",0,B,[11],1,1,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:20,False,,,8,animals,8,2026-06-14 14:31:20,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 4, ""passed"": false}",,,5,5,True,"[""B"", ""A"", ""C""]",2,C,"[5, 11, 10, 4, 6]",5,1,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:21,False,,,9,animals,9,2026-06-14 14:31:21,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 3, ""passed"": false}",,,4,4,True,"[""B"", ""A"", ""C""]",1,A,"[11, 2, 1, 4]",4,2,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:22,False,,,10,animals,10,2026-06-14 14:31:22,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 1, ""passed"": false}",,,2,2,True,"[""A"", ""C"", ""B""]",0,A,"[7, 1]",2,2,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:23,False,,,11,animals,11,2026-06-14 14:31:23,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 5, ""passed"": false}",,,6,6,True,"[""C"", ""A"", ""B""]",2,B,"[9, 3, 10, 4, 5, 8]",6,2,ChainTrialMakerState,ModuleState
{},2026-06-14 14:31:24,False,,,12,animals,12,2026-06-14 14:31:24,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 1, ""passed"": false}",,,2,2,True,"[""B"", ""C"", ""A""]",0,B,"[2, 5]",2,2,ChainTrialMakerState,ModuleState
